step,deepseek1.5b_sync_8gpu_lr3e-6-actor/pg_clipfrac_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-actor/pg_clipfrac_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/pg_clipfrac_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-actor/pg_clipfrac_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/pg_clipfrac_step,deepseek1.5b_sync_8gpu_lr5e-6-actor/pg_clipfrac_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/pg_clipfrac_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-actor/pg_clipfrac_step,deepseek1.5b_fa_partial_lr1e-6-actor/pg_clipfrac_step,deepseek1.5b_fa_partial_lr1e-5-actor/pg_clipfrac_step,deepseek1.5b_sync_lr1e-5-actor/pg_clipfrac_step,deepseek1.5b_sync_lr1e-6-actor/pg_clipfrac_step
1,0,0,,0,,0,,,,,0,0
2,0.00011949693210859232,0.006298587838144791,0.00022368914071473856,0.00012755392298868673,0.00023322424012375104,0.00012095822979232992,0.00022888590889308996,0.00013818485600135678,0.00023345970453218337,0.0002445894263930826,0.00013138831443259503,0.00012322709283450552
3,0.0001252678753897069,0.006546353185063248,0.00022569986182019536,0.00013256780923736616,,,0.0002413310653084121,,0.0002210547965267161,0.00022487741463141705,0.00012325876635562358,0.0001189648796203623
4,0.0001449984593420411,0.007264227942521736,0.0002228770914811648,0.00017717474435647256,0.00022309920233937823,0.00014826074560790985,0.001344447910860885,0.0008012249702106702,0.0002240830192358686,0.00022186358336181332,0.00024951608562798016,0.00013693140957339695
5,0.00015540928229875793,0.007396394586355266,,0.0003565392651466937,,0.00015327909350611505,,,0.00023680932301082213,0.0004530142004669735,0.0005252711469097449,0.00014277697920722236
6,,0.007451575982572865,0.0006915903064893499,,,0.0001667715667218576,,,0.0002117211638724493,0.0008080762385729067,0.0002788521064303495,0.00013404625078692334
7,0.00016505018207640257,0.007976780872836355,,0.0007827805909300878,,0.00019001802920890688,0.0013112044429450715,0.0023793039189048044,0.0002077751030494625,0.00078126723163046,0.0006593749897319867,0.00011572305578698474
8,0.00023914733286307447,,0.000807844291000595,,,0.0002467696711655184,,0.001923654835847724,0.0002591675739493704,0.000949564129067654,0.00043614169926797786,0.0001504827529411652
9,0.00029619182030154133,0.010353006141182656,0.0010031970774409477,,0.00046576285050911105,0.0004775971781680095,0.0006721459061305655,0.00239060131797059,0.00021092385704065097,0.0010154507280402958,0.0007436380430686098,0.00014926685063495291
10,,,0.0012821281186974015,0.0008764729442418684,0.0004400486836544183,,,0.0007948966928565557,0.0002146114033134218,0.0020836784991514665,0.0007608201931361691,0.0001361464637850032
