step,deepseek1.5b_sync_8gpu_lr3e-6-actor/ppo_kl_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-actor/ppo_kl_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/ppo_kl_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-actor/ppo_kl_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/ppo_kl_step,deepseek1.5b_sync_8gpu_lr5e-6-actor/ppo_kl_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/ppo_kl_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-actor/ppo_kl_step,deepseek1.5b_fa_partial_lr1e-6-actor/ppo_kl_step,deepseek1.5b_fa_partial_lr1e-5-actor/ppo_kl_step,deepseek1.5b_sync_lr1e-5-actor/ppo_kl_step,deepseek1.5b_sync_lr1e-6-actor/ppo_kl_step
1,0,0,,0,,0,,,,,0,0
2,1.2325757815290215e-05,-1.3450994752810916e-07,0.0004223101707133821,4.46685669805527e-07,0.0004325698088209582,-2.975630900187093e-06,0.00044052270867417977,1.207780461992974e-05,0.0004326343031023154,0.0004130613333411492,-1.399328656324352e-05,-3.910987185115835e-06
3,-1.836264035672583e-05,7.361170622681419e-06,0.0004427332133831596,6.911863023633187e-06,,,0.00045970893088061263,,0.0004206400796569455,0.00040828852886545634,-8.270302213494082e-06,-1.8076836509665523e-05
4,-1.0657803343381888e-06,1.9842391155274467e-06,0.0004302426121631792,3.853359378941884e-05,0.0004307855506785631,-8.593381327415273e-06,0.0006197844847719271,0.0001562561331815636,0.0004181200381718249,0.0004466269762973973,4.5091917321000504e-05,-4.222104401766925e-06
5,2.5030951479789383e-05,2.9119206859410576e-05,,8.176631356953124e-05,,1.0328072524619833e-05,,,0.0004576266600563462,0.0005042894558921115,9.759553455523928e-05,1.3634830837099156e-05
6,,2.0870229823528808e-05,0.0005591262296441633,,,5.23863028422609e-05,,,0.0004280640378830377,0.0005631716192141791,4.5472089770726146e-05,1.8140249203055543e-05
7,1.833791918670613e-05,2.6410268174985385e-05,,0.00016399255113661582,,1.9086782664278314e-05,0.0006712025797746705,0.0005593450970552184,0.00045530728197049975,0.0005978107128718488,0.00013362204057116857,6.1598680848159595e-06
8,4.573044029256544e-05,,0.000618530653634644,,,6.45550672275201e-05,,0.00031391891762956375,0.0004361123673279833,0.0006333706638121902,5.6315634057169106e-05,3.226545252765376e-06
9,3.829473072981596e-05,9.933664979233647e-05,0.0006231668656096663,,0.0004975074327723803,9.168806215535577e-05,0.0006080031752530759,0.0004845261568823974,0.0004383915484374126,0.0006178837670633703,0.0001170892216754675,6.887351638979588e-06
10,,,0.0006454916245609918,0.0001599613658435877,0.0005264349891869549,,,0.00018967442090660612,0.0004545359995774685,0.0007673089330107975,0.0001511934183555346,1.2618809913737173e-05
11,4.281659830113336e-05,0.00021712046490398652,0.0007346958726458495,0.00017466524013243223,,,0.0009399257475559952,,0.00043729164123061664,0.0007613912341999869,0.0002621516541858308,-3.020089519068691e-06
12,6.983284550103354e-05,0.00022655728962686563,0.000925643651940528,,0.0005719740984312385,0.00017924313316160917,,0.0004578378446255597,0.0004764643032548314,0.0010713947837153411,0.00014783082513476816,1.7696447986788146e-05
13,,0.00021632457515896,0.00074241302872049,,,,,,0.00042844168041120063,0.001011834707823593,0.00023822391001985204,5.7249874442156995e-06
14,6.5287691105216554e-06,0.0002354486529449267,,0.00017917424515438813,,7.104134150367748e-05,0.0010927652593636591,0.00048559545059182103,0.0004368840951094582,0.0010784763454726592,0.00019029102763965967,2.419055177149687e-05
15,3.174474184990888e-05,0.0001629466514401865,0.001508568363514266,0.00023460798960646032,0.0005902030112056265,7.819148616182179e-05,0.0014647074527733902,0.0029371314883374386,0.0004535204518524685,0.0010473503732304976,0.0002096758000538888,8.753577447422416e-06
16,6.32749808829658e-05,,0.0017318908377966578,,0.0006121699893720953,,0.001433802169434248,,0.0004543747269151104,0.0011071216892992273,0.00023485018545868735,2.1326966812118545e-05
