step,deepseek1.5b_sync_8gpu_lr3e-6-actor/pg_clipfrac_lower_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-actor/pg_clipfrac_lower_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/pg_clipfrac_lower_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-actor/pg_clipfrac_lower_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/pg_clipfrac_lower_step,deepseek1.5b_sync_8gpu_lr5e-6-actor/pg_clipfrac_lower_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/pg_clipfrac_lower_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-actor/pg_clipfrac_lower_step,deepseek1.5b_fa_partial_lr1e-6-actor/pg_clipfrac_lower_step,deepseek1.5b_fa_partial_lr1e-5-actor/pg_clipfrac_lower_step,deepseek1.5b_sync_lr1e-5-actor/pg_clipfrac_lower_step,deepseek1.5b_sync_lr1e-6-actor/pg_clipfrac_lower_step
1,0,0,,0,,0,,,,,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,,,0,,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,,0,,0,,,0,0,0,0
6,,0,0,,,0,,,0,0,0,0
7,0,0,,0,,0,0,0,0,0,0,0
8,0,,0,,,0,,0,0,0,0,0
9,0,0,0,,0,0,0,0,0,0,0,0
10,,,0,0,0,,,0,0,0,0,0
11,0,0,0,0,,,0,,0,0,0,0
12,0,0,0,,0,0,,0,0,0,0,0
13,,0,0,,,,,,0,0,0,0
14,0,0,,0,,0,0,0,0,1.7742777979651165e-07,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0
16,0,,0,,0,,0,,0,0,0,0
17,0,0,2.3049906872074644e-07,0,2.295431234718611e-07,0,1.2977766840302376e-06,,0,0,0,0
18,0,0,0,0,,0,,,0,0,0,0
19,0,0,0,0,0,,0,0,0,0,0,0
20,,0,0,0,,0,,0,0,0,0,0
21,0,0,,0,0,0,0,0,0,0,0,0
22,,0,3.7624084526262435e-07,0,0,0,0,0,0,8.435831124884048e-07,0,0
23,,0,0,0,,0,0,0,0,0,0,0
24,0,0,3.4480856476492545e-07,0,0,0,0,0,0,1.3018303557629347e-06,0,0
25,0,0,3.9641764083676713e-07,0,,,0,0,0,1.370253487818575e-07,0,0
26,0,0,0,0,,,,0,0,0,0,0
27,0,0,,,,,,,0,0,0,0
28,0,,0,0,0,0,0,0,0,0,0,0
29,0,0,,0,0,0,1.305661837360469e-05,0,0,0,0,0
30,0,0,0,0,0,,0,0,0,0,0,0
31,,,0,0,0,0,0,0,0,0,4.1205166780855505e-07,0
32,0,0,0,0,0,0,,0,0,0,0,0
33,0,0,0,0,0,0,,0,0,0,0,0
34,0,0,0,0,0,0,2.461095010080645e-07,,0,0,0,0
35,,,0,0,1.81533543968037e-07,0,,0,0,0,0,0
36,0,0,0,0,0,,,,0,0,0,0
37,0,0,0,0,0,0,0,,0,0,0,0
38,0,0,7.29696478218341e-07,0,1.2942925671020269e-06,0,3.054367698496208e-07,0,0,1.7555296612356351e-06,0,0
39,0,0,0,0,0,0,,0,0,0,0,0
40,0,0,0,0,0,,0,,0,0,0,0
41,0,0,0,0,0,0,0,,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,,0,0,0,,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,2.9984361250311707e-07,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0
