step,deepseek1.5b_sync_8gpu_lr3e-6-actor/lr_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-actor/lr_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-actor/lr_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/lr_step,deepseek1.5b_sync_8gpu_lr5e-6-actor/lr_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-actor/lr_step,deepseek1.5b_fa_partial_lr1e-6-actor/lr_step,deepseek1.5b_fa_partial_lr1e-5-actor/lr_step,deepseek1.5b_sync_lr1e-5-actor/lr_step,deepseek1.5b_sync_lr1e-6-actor/lr_step
1,0,0,,0,,0,,,,,0,0
2,3.0000000000000004e-07,1.0000000000000002e-06,1.0000000000000002e-06,1.0000000000000002e-06,5.000000000000001e-07,5.000000000000001e-07,1.0000000000000002e-06,1.0000000000000002e-06,1e-07,1.0000000000000002e-06,1.0000000000000002e-06,1e-07
3,6.000000000000001e-07,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,,,2.0000000000000003e-06,,2e-07,2.0000000000000003e-06,2.0000000000000003e-06,2e-07
4,9e-07,3e-06,3e-06,3e-06,1.5e-06,1.5e-06,3e-06,3e-06,3e-07,3e-06,3e-06,3e-07
5,1.2000000000000002e-06,4.000000000000001e-06,,4.000000000000001e-06,,2.0000000000000003e-06,,,4e-07,4.000000000000001e-06,4.000000000000001e-06,4e-07
6,,4.9999999999999996e-06,4.9999999999999996e-06,,,2.4999999999999998e-06,,,5e-07,4.9999999999999996e-06,4.9999999999999996e-06,5e-07
7,1.8e-06,6e-06,,6e-06,,3e-06,6e-06,6e-06,6e-07,6e-06,6e-06,6e-07
8,2.1e-06,,7e-06,,,3.5e-06,,7e-06,7e-07,7e-06,7e-06,7e-07
9,2.4000000000000003e-06,8.000000000000001e-06,8.000000000000001e-06,,4.000000000000001e-06,4.000000000000001e-06,8.000000000000001e-06,8.000000000000001e-06,8e-07,8.000000000000001e-06,8.000000000000001e-06,8e-07
10,,,9e-06,9e-06,4.5e-06,,,9e-06,9e-07,9e-06,9e-06,9e-07
11,3e-06,1e-05,1e-05,1e-05,,,1e-05,,1e-06,1e-05,1e-05,1e-06
12,3e-06,1e-05,0,,4.9999999999999996e-06,4.9999999999999996e-06,,1e-05,1e-06,1e-05,1e-05,1e-06
