step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/ratio_std_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/ratio_std_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/ratio_std_step,deepseek1.5b_fa_partial_lr1e-6-actor/ratio_std_step,deepseek1.5b_fa_partial_lr1e-5-actor/ratio_std_step
2,0.029334221071794862,0.02942370593160554,0.029440924741351397,0.029266565057324338,0.029334046735854137
3,0.029352591038027034,,0.029740821438534217,0.029197574207088753,0.02925879853732119
4,0.029611484228996583,0.02947853405363375,0.035279114658929286,0.029486329058524403,0.029792222883340647
5,,,,0.029434478924271056,0.03194790705240966
6,0.033453244393594664,,,0.02916146032028384,0.03387631800830025
7,,,0.03761627097978803,0.02986543923796946,0.03444015491187433
8,0.03388444625898979,,,0.029616628042236495,0.03451850449628562
9,0.03581839260921159,0.03183508317886408,0.03461230893576242,0.029713137798365083,0.0352956862785881
10,0.03642002644161968,0.031644650774542246,,0.029955011464333124,0.03865984301329636
11,0.0378534345290464,,0.04310315770614478,0.029909681874038332,0.03833744164176384
12,0.04277604638141523,0.03355453434871891,,0.03125177310012237,0.04506937373769439
13,0.038986915253054706,,,0.02944263012366204,0.045044111253936654
14,,,0.04657472784682695,0.03021848531193439,0.04599202340505067
15,0.05569104864678689,0.03466103042409682,0.055648950738974905,0.030523574566479448,0.04565013292550374
16,0.056665935884124566,0.034894173450576854,0.052291632428757125,0.02999178099673955,0.045955121094837445
17,0.06324145347591387,0.03854700471856631,0.06539031116017434,0.034526376974773246,0.04960477910777131
18,0.06138170165356892,,,0.030210684829206136,0.045003157413919415
19,0.07362633002760252,0.03427519799246416,0.06613726495041712,0.02955350028888251,0.05174532154029826
20,0.07061663388774014,,,0.029897288203808586,0.057803537139746675
21,,0.03509060940430639,0.06996610037760445,0.029859999029696355,0.0656844885495957
22,0.07574577662678725,0.033674195889551214,0.060314694355474784,0.02970838437382891,0.07447172896437343
23,0.1038341940297344,,0.07148427337981828,0.029510703414573573,0.08565130578256988
24,0.06744987517332701,0.03580236592158052,0.06635433040132327,0.02969694013415203,0.11895183120059331
25,0.09951503559326132,,0.07072875983273935,0.031072515883807255,0.07885343975815348
26,0.07015066688883309,,,0.030798639146669304,0.059929459293328394
27,,,,0.031063407801183145,0.05307107566831967
28,0.06278206759773046,0.05028040732260053,0.11882072430612864,0.03056855073146936,0.05282211648821687
29,,0.05341649583037268,0.18864068750487853,0.029932309743471087,0.045112383282477304
30,0.059596525310599904,0.05912020229993181,0.12273574574792293,0.030374869628075507,0.040914031841240504
31,0.09320097527494006,0.06551467412257772,0.1364470330187203,0.030276028486744808,0.03970969733991869
32,0.056304381988328794,0.05510465887781506,,0.030496026910936773,0.03748584739265165
33,0.08638108758576692,0.042096777308684705,,0.029848461164190872,0.034888702195670564
34,0.05508047217876069,0.0370823984003807,0.2011831225172835,0.02962804675674609,0.03640024799583558
35,0.08311361483045511,0.04168701827152153,,0.030226702542301823,0.03623119032421621
36,0.05428214885954124,0.03427723954389934,,0.02991113383840355,0.0361663219397152
37,0.08310663194573595,0.033254501495589166,0.11342856369835014,0.02990430581432555,0.03636131938426466
38,0.06026992318438934,0.03991678460894868,0.0747008526410597,0.03497639405083776,0.04197100146960181
39,0.08498077859743111,0.03330360208403235,,0.029295416194574285,0.037253158577899056
40,0.057928192324462446,0.03254325438696281,0.08432633487872132,0.02905049683758989,0.03686082272559395
41,0.08304990673464109,0.032533913006701,0.08191689725519757,0.029847315411873,0.03684582409261998
42,0.05951941263074764,0.034489104401840574,0.08685405909523575,0.02957729539712486,0.03763378718913776
43,0.07506946169443288,0.03283389815700049,0.0650116795732174,0.02951151801190884,0.03583490988643437
44,0.050167271918949805,0.03380751842065932,0.07914159218974721,0.031173117813164536,0.03851655085171119
45,0.07361541771928647,0.03392271580967298,0.08341080983615635,0.030293552224833216,0.03813310387151971
46,0.05549136735423311,0.032860178508174916,0.07720752808406262,0.02921554596360886,0.03719301283083686
47,0.07063463992788249,0.03286186149328729,0.0678837743720838,0.02999478795115474,0.03787434061129747
48,0.05517668140985604,0.03318789105153653,0.06583236632686036,0.031010086490779888,0.03686071116993989
49,0.07305160555605539,0.03371869892321734,0.06761815093625757,0.02982366585332018,0.03707800396025562
50,0.05833317523633843,0.03398991894753455,0.06646487476884208,0.02998005230530488,0.03900467277938325
51,0.07994859366081855,0.034495868425940164,0.05366886586325206,0.029672608306492508,0.03913766549962859
52,0.0684024701804604,0.04103725200588047,0.08376333836446671,0.03707083119672208,0.04535261001840878
53,0.08187417001851524,0.033051181233657356,0.06135250377867903,0.02855169298065039,0.03856157285161317
54,0.0601155873009246,0.033193722669315244,0.08222507450929177,0.029570320847201997,0.038172499459081646
55,0.08212405398085153,0.03426562430359022,0.0790583692335834,0.029472687288816052,0.03715244199225835
56,0.06691146801249447,0.0337685993730795,0.09797405040658572,0.02971682264210863,0.03736785709714661
57,0.09239243388513169,0.035331359713084314,0.11533128211481704,0.028747815131542405,0.03822011741707242
58,0.06087794111334477,0.033825296603041725,0.08782406301341122,0.02912522133862278,0.038247009938155926
