step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/ratio_p95_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/ratio_p95_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/ratio_p95_step,deepseek1.5b_fa_partial_lr1e-6-actor/ratio_p95_step,deepseek1.5b_fa_partial_lr1e-5-actor/ratio_p95_step
2,1.0450257774937404,1.0451183130092894,1.0454639980802494,1.0449953710790885,1.0451477147333132
3,1.044737144319953,,1.04562352766794,1.044666601295846,1.0446962776810231
4,1.045536946277348,1.0451404383316825,1.0608993760032446,1.0453766826241608,1.0465869254235065
5,,,,1.044979871468311,1.050693992051983
6,1.0517180820370648,,,1.043692830829071,1.0513465144467675
7,,,1.066892479479182,1.046373768385878,1.0539513530542484
8,1.0530856539104885,,,1.045301886333784,1.0534744830137397
9,1.055901744644399,1.0503181629228302,1.0603316159877512,1.0462817525853971,1.057020562884636
10,1.0571714592377703,1.0488175358264535,,1.0465588151920635,1.05776194391332
11,1.0611208661531026,,1.076540835470789,1.046652672283328,1.063638406819419
12,1.0651053772237276,1.053375943900853,,1.050525438147556,1.0668091683907055
13,1.0639636845988671,,,1.0444465706909831,1.0673257667049405
14,,,1.0780860106978152,1.046080066687796,1.0662612576080963
15,1.082123521480121,1.0528546565814931,1.0917925841878262,1.0470582048434014,1.070258037244274
16,1.0743268904811207,1.0540577529295487,1.0815532192212056,1.045291379382069,1.066862590214937
17,1.0823861910030246,1.0531224866087237,1.103698697840966,1.0485678858779095,1.0692621488349907
18,1.0879807231329015,,,1.046485306536434,1.066850436252675
19,1.09431620059121,1.0514862825489275,1.102923126935604,1.0441963913635566,1.0719321842367018
20,1.0928548095018966,,,1.0458732784732625,1.0798522091160216
21,,1.0549043481457867,1.1113744074876648,1.0454110781016648,1.0847236280639967
22,1.1008784064954231,1.050083250296441,1.0950385781005023,1.0446607817930202,1.091312709274997
23,1.1146357932347593,,1.1106453762655812,1.0450627370500096,1.1067260594107209
24,1.0909932907010509,1.0541689482611647,1.0996670538909128,1.0453122761164124,1.1260318980576136
25,1.1257540215220718,,1.1172490274977116,1.0486695742085692,1.1059474597478949
26,1.0937919180649214,,,1.0462345521400374,1.0815375198507509
27,,,,1.0467907600370905,1.077050937905962
28,1.086571222100924,1.0673532175680256,1.1703454816653844,1.0466357026663091,1.073153231968981
29,,1.0751069039274932,1.2271235238393825,1.0453063971130738,1.0642981372773648
30,1.0854398703608563,1.078361467851533,1.201580419298261,1.0469873159605283,1.0619294437890252
31,1.1139123141792886,1.0851483043708725,1.217593542025272,1.0460696069068378,1.0582501380427465
32,1.0789061435498295,1.0730102588368655,,1.046987652803025,1.0565375737845897
33,1.110023443257754,1.0647900793781524,,1.045524356730203,1.052376497572718
34,1.077776219499739,1.058816014624694,1.320206011598286,1.0440680789761243,1.0542812525474723
