step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/ratio_max_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/ratio_max_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/ratio_max_step,deepseek1.5b_fa_partial_lr1e-6-actor/ratio_max_step,deepseek1.5b_fa_partial_lr1e-5-actor/ratio_max_step
2,1.2715225666761398,1.2949664359742945,1.274455239014192,1.2742843295519168,1.280054121017456
3,1.280544618584893,,1.3237255242737858,1.2752053693488792,1.2826865375041965
4,1.2836703647266734,1.2799173896962943,1.6898348225701239,1.27747268893502,1.270234206047925
5,,,,1.2759176282970994,1.2933438994266369
6,1.5391393974423409,,,1.2786251593913351,1.4786882974483349
7,,,1.561957336962223,1.285081349177794,1.4268076440383648
8,1.3645359381385471,,,1.28448881705602,1.4587108713129289
9,1.523875154554844,1.31631835743233,1.4079569685459137,1.2793665360320698,1.4705804857340723
10,1.4265600118948063,1.3371448063850402,,1.277289738257726,1.3939417543865384
11,1.5977458953857422,,1.6205137943228085,1.272899010058107,1.6360716760158538
12,1.6075038029388948,1.3223983542277262,,1.2742078525404776,1.7026810982952951
13,1.6207067615845625,,,1.2739261069468089,1.7815782388051349
14,,,1.63873852789402,1.2955352353013079,1.8018566835671663
15,2.323460128746534,1.3775791093707084,1.915600303484469,1.301873641985434,1.8032875814858604
16,2.2995788361877203,1.477235483005643,1.6692159913088147,1.2871980705986852,1.5919197052717209
17,2.5604562246137195,1.996701292693615,3.1613711215879605,1.6244632713496685,2.37187806169192
18,3.276094905204243,,,1.2822899873609896,1.846375273540616
19,2.8728635112444563,1.4103636677776064,2.429040789604187,1.2899278596043586,1.8678106303725923
20,3.241632557577557,,,1.312063729763031,2.537955703337987
21,,1.4578663600342614,2.360121416418176,1.2979770657562075,2.299644325176875
22,4.038185753320393,1.3704877860016291,1.8385159850120545,1.2845884823799134,3.4750536610098446
23,4.193152113755544,,2.357297681910651,1.2823467131923227,2.8658607602119446
24,3.443259076068276,1.5359694702284676,2.000321739249759,1.2813932867277236,4.9815737179347455
25,2.889304924342367,,2.118554752213614,1.285460906184238,2.450780967161769
26,3.5053424537181854,,,1.2674940387407938,1.9799528355534013
27,,,,1.2804701048880816,1.9606403853648748
28,2.786699703998036,1.843893113044592,3.614718860195529,1.2864302429887984,1.9316310648407256
29,,2.438590262944882,5.2655793816754315,1.3028352823522356,1.7582695420299257
30,2.6630741469562063,1.8681195199489593,4.104389188438654,1.2967691293784551,1.8266819976270199
31,2.9939666603292743,2.8570771102721872,3.789219286796209,1.265368259549141,1.4950247844060265
32,2.5389581453055143,1.8369793828044616,,1.2733356881141662,1.4563151257378717
33,2.803590865805745,1.7057586461305618,,1.2848383841362403,1.4926493557599874
34,2.2470648075853075,1.4786755121671236,4.6062702382764495,1.2862668602416911,1.441012755036354
35,2.5447717102674337,1.8286507138700197,,1.2833814442157745,1.4379640359144945
36,2.8315393388271333,1.4138221070170405,,1.3194186488787334,1.4863412173894734
37,2.928072695548718,1.4692263576117428,2.2946557879447935,1.2782759403073511,1.4782303621371586
38,2.7508044029985155,2.1825348716793638,1.9596330046653747,1.614152953028679,1.950953701811452
39,2.3788107757767043,1.3891874307935888,,1.3012468687125616,1.5482469722628591
40,2.693850375711918,1.3687963598761066,1.9920714976994889,1.2837403267621994,1.564146264241292
