step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/ppo_kl_mean_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/ppo_kl_mean_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/ppo_kl_mean_step,deepseek1.5b_fa_partial_lr1e-6-actor/ppo_kl_mean_step,deepseek1.5b_fa_partial_lr1e-5-actor/ppo_kl_mean_step
2,0.0004223101717127133,0.0004325698049482467,0.0004405227087959785,0.00043263430407785365,0.00041306133326940464
3,0.0004427332162805442,,0.00045970893358570866,0.0004206400803348489,0.00040828852777836905
4,0.0004302426117331556,0.0004307855503485296,0.0006197844816953149,0.0004181200360921608,0.00044662697578270593
5,,,,0.0004576266599681337,0.0005042894575042982
6,0.0005591262277381741,,,0.000428064036040868,0.0005631716163645054
7,,,0.0006712025790386858,0.0004553072817732196,0.0005978107143411889
8,0.0006185306571226102,,,0.0004361123666495037,0.0006333706647300786
9,0.0006231668686804611,0.0004975074312182862,0.0006080031746601358,0.00043839155311815913,0.0006178837704487191
10,0.0006454916256340943,0.0005264349923005638,,0.000454535997511852,0.0007673089340128863
11,0.0007346958740703138,,0.0009399257472546302,0.0004372916400013955,0.0007613912331412632
12,0.0009256436579573728,0.0005719740982176304,,0.00047646430503632667,0.0010713947829972415
13,0.0007424130316850824,,,0.0004284416812354652,0.001011834705692102
14,,,0.0010927652596769298,0.00043688409886957736,0.0010784763489542098
15,0.0015085683614884863,0.0005902030160926558,0.001464707450876125,0.0004535204491899533,0.0010473503803069698
16,0.0017318908424505616,0.0006121699861092251,0.0014338021801858817,0.00045437472785861047,0.001107121701504888
17,0.0022191665673795395,0.0009992780332821471,0.0020682601682086464,0.0009262234608555716,0.0014277052963679482
18,0.0018262289383650689,,,0.0004686411203170803,0.0010259235078786148
19,0.002525384248080324,0.0005625681197574175,0.0021115850230051776,0.000433140666268737,0.0014240157743429162
20,0.0032775560521958987,,,0.0004684341518173715,0.0016283940338553292
21,,0.0006095731570090313,0.0023588027842306727,0.000453539141849693,0.00238959005760222
22,0.0029489019909571456,0.0005815919264762376,0.0018786498028021013,0.0004418191477406426,0.0024782908974553034
23,0.004479119242424213,,0.002534104676875667,0.0004315051513323593,0.0044608898394623495
24,0.0029335627054674985,0.0006812516627387958,0.002264530144412769,0.00042291595275313143,0.005712012536159053
25,0.0058962222741959155,,0.002550880461772717,0.00046186275387662785,0.003426381102074601
26,0.002563672561873085,,,0.0005504758215154008,0.0018627858879561837
27,,,,0.0004932425476862043,0.0013421700520417463
28,0.002451110789322579,0.0014304462371677307,0.008885752610412525,0.0004536088091181038,0.0014696098815931487
29,,0.0013960673090631197,0.02131961190825264,0.00042647219468626755,0.0010133085226690193
30,0.0020072223423857173,0.0020177249424048367,0.009314402293739477,0.0004760984164619127,0.0008300207876406927
31,0.004025572206697796,0.001947539633218954,0.012039948641062346,0.00047263723086719736,0.0007559661493223306
32,0.0017980831266416171,0.0016461288576142385,,0.00047628192662886565,0.0007475677243401639
33,0.003797414202264873,0.0008860993575465102,,0.00047020932896349893,0.0006026812252032643
