step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/ppo_kl_p95_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/ppo_kl_p95_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/ppo_kl_p95_step,deepseek1.5b_fa_partial_lr1e-6-actor/ppo_kl_p95_step,deepseek1.5b_fa_partial_lr1e-5-actor/ppo_kl_p95_step
2,0.047722690253863706,0.04798574821595479,0.048131712171016264,0.04754465420489622,0.0476117327764824
3,0.047696341712669295,,0.04898320718453601,0.0469872143194524,0.04695652601017494
4,0.04875231745272996,0.04802539299583821,0.05431456903847143,0.04799391186001971,0.04942320222352546
5,,,,0.04814517036086632,0.0569443224251224
6,0.058567171038185886,,,0.04699846535789563,0.06039043526923259
7,,,0.0599551649934237,0.04971234620160318,0.061298495382333305
8,0.058903956699632595,,,0.04822767212893416,0.05968770461644471
9,0.0651965041890637,0.05522592001998575,0.05793211945160119,0.04884187350852427,0.05973501946935483
10,0.06488136540570738,0.05428352168920726,,0.04976748822638416,0.07099045320798175
11,0.06488801399245858,,0.06614373107087212,0.04988705549538018,0.0610211859299115
12,0.07612049241463727,0.05955955317722198,,0.05427742978015811,0.08043327374171984
13,0.05684963267833978,,,0.048233510413880375,0.07246449188034586
14,,,0.07603485822781092,0.05061857226892108,0.07600644847496149
15,0.0783373700702367,0.061767617235754566,0.07738266734439614,0.051706014603158816,0.07424778602982363
16,0.09346093327343274,0.057614482483159465,0.0911947007815909,0.04990284183121102,0.0779594393153876
17,0.09630880331032032,0.06137637710344279,0.08698729382027032,0.05454539141835455,0.07524228736715899
18,0.08283319963831307,,,0.050426803887735495,0.0721629304295805
19,0.095673463015636,0.058474118873861,0.0935940174656155,0.04861718895934665,0.08480874852493132
20,0.126346674564425,,,0.04919036741704783,0.08159336736231732
21,,0.059829408763923314,0.10002836622816766,0.04899385844929533,0.10827850621426478
22,0.0998924865584491,0.05822084505944743,0.09620786926243456,0.04810641915753001,0.09020440462488426
23,0.121244892472689,,0.09748582476916325,0.0475723903372829,0.15197119532191816
24,0.11925121913834102,0.06087195828884762,0.1009658822875442,0.048774514877234665,0.13568317199308397
25,0.1728147484948881,,0.10197114766398002,0.05399301806020917,0.13170986380741126
26,0.09698595548233688,,,0.053666442649749416,0.09886051693242896
27,,,,0.0543398684713329,0.07365296380944046
28,0.10653895424368803,0.08388857987115327,0.18869716472428053,0.05179325074390767,0.0867047997943978
29,,0.07123788470508108,0.2852732659372233,0.04888467191907779,0.07286689079067271
30,0.08926177319909374,0.10049232606543228,0.20889680383261297,0.05063430831346483,0.06500246300963006
31,0.12610306575682848,0.08121597397983474,0.2260585427514008,0.051688972003499256,0.06629354881462515
32,0.09053762386346616,0.09281312976154754,,0.052341649348681456,0.06356303542187171
33,0.12811376584449602,0.06389372739027084,,0.049099285054290565,0.05812807797869587
34,0.08668195670190498,0.05695246807636684,0.3453024247524968,0.04846953999731341,0.0622122127599936
35,0.12093410153702124,0.07155387833393324,,0.05006254375317788,0.06033137483455693
36,0.08089706168975681,0.05477370714746235,,0.04879956065625366,0.05830875472329338
37,0.11518987365767364,0.05098524151207897,0.18314402290076637,0.04960785514338955,0.05970703275886299
38,0.0943788098903424,0.057783822194309914,0.12259911335849512,0.053432546063309674,0.06418026095023956
39,0.1326759367414828,0.0561458705445409,,0.0467655168794079,0.06089724201434911
40,0.08008920709821911,0.05158788724481289,0.13488533722196258,0.046513517924838446,0.06013249947049652
41,0.1041597472040948,0.05327643051965361,0.12985265351009445,0.04926766250636833,0.06097749815022723
