step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/ppo_kl_max_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/ppo_kl_max_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/ppo_kl_max_step,deepseek1.5b_fa_partial_lr1e-6-actor/ppo_kl_max_step,deepseek1.5b_fa_partial_lr1e-5-actor/ppo_kl_max_step
2,0.2643517261514297,0.2593714274741985,0.2577169618823312,0.2486833127645346,0.24851971933687175
3,0.2506029191342267,,0.25352433635429905,0.25254204219037835,0.2519014759497209
4,0.2564463596452366,0.2588181870598947,0.2455067331592242,0.2501940450885079,0.257152928908666
5,,,,0.24657644165886772,0.34998845446992805
6,0.508321476834161,,,0.2666780666581222,0.4697851571771834
7,,,0.31491115083917975,0.25114124904979357,0.4787594223844594
8,0.6570975152046784,,,0.25631530375944245,0.6291178659252499
9,0.6023483037327727,0.3761107700842398,0.42492732882499695,0.259488390927965,0.5446874187751249
10,0.6303373544166485,0.43194734036922455,,0.2593867451913895,0.6949409913449061
11,0.6672376854853197,,0.6016986232995987,0.25597720310605804,0.6449977241456508
12,0.6016939586171737,0.48214114629305327,,0.2626826349766024,0.7770264835461326
13,0.34471040087587695,,,0.27529012488907784,0.7743352383375168
14,,,0.734779466357496,0.2849768251180649,0.8476866977289319
15,1.5007691077888012,0.6035201266407967,0.7101970404386521,0.2838873874258112,0.6702917972031761
16,1.2210589246824384,0.4533523181453347,0.8268025266496759,0.2738338346066682,0.8661102663193431
17,1.3604506312145128,0.7605937132611871,0.5794522020479907,0.48222088006635505,1.0291452348232268
18,1.425369264350997,,,0.28144027403107397,1.2295307898893952
19,1.9967100005596876,0.40964239835739136,0.7554519586265087,0.2777862921357155,1.1747260051114221
20,2.071682239572207,,,0.2754576599597931,0.9849484811226528
21,,0.4615329535944121,0.6523719789350734,0.26438608907517935,1.453146038452784
22,1.679276503230396,0.4291148988737,0.7956564791500569,0.2667405557632446,1.2763919655014486
23,1.749106797575951,,0.7704090467521123,0.27127595990896225,2.20875519712766
24,2.011891683465556,0.5489630103111267,0.8497556797095708,0.2801673639388311,2.3276401130216464
25,2.215185006459554,,0.7234812336308616,0.28251171435998834,1.217803874186107
26,2.130734329422315,,,0.3200950101017952,0.9198723604550232
27,,,,0.31239583529531956,0.714133257312434
28,1.6014467196332085,1.2307236538483546,1.2914780859024293,0.2866521196232902,0.8105274204696927
29,,0.8818345986879789,1.930182011798024,0.2710943394431881,0.745921288217817
30,1.3220709338784218,1.1742796719074249,1.121045182645321,0.2755796554542723,1.1254405453801155
31,1.419213945666949,1.1082566323188634,1.720581441714957,0.2981183820962906,0.5154124756654104
32,1.1740106148645282,0.9904038310050964,,0.28561662372789887,0.5126863239066941
33,1.3481482472270727,0.5805646975835165,,0.2853924948722124,0.5181874231650279
34,1.2807641157082148,0.48794502593003786,1.938127568652553,0.28943845070898533,0.44814773382885115
35,1.4363836164657886,0.7472643045087656,,0.2873706668615341,0.5074746643121426
36,1.050814833243688,0.5068512509266535,,0.29939321279525755,0.476497627221621
37,1.1499933930380004,0.4924318780159128,0.9231194098790486,0.29436688927503735,0.4655534165600936
38,2.1971317189080373,0.7593949053149956,1.1015477776527405,0.7084599873051047,0.7220282953593039
39,1.8508079896370568,0.4599562409249219,,0.2738904708198139,0.4565206977228324
40,0.8418341726064682,0.3991757120037901,0.48775679909664654,0.27340893041003833,0.5151630124220481
41,0.971866935491562,0.37650173673262965,0.5401655463945298,0.2758352667093277,0.5145760305225849
42,1.4373258735452379,0.5327063993765757,0.6876848325133323,0.2791625093668699,0.4761345759034157
43,1.71647513906161,0.43459874256090686,0.4223508723080158,0.3046712577342987,0.5137832828543403
44,0.6332245873553413,0.3748104001084964,0.5147662609815598,0.30462624558380674,0.4927531120677789
45,0.7277292119605201,0.40081141144037247,0.5596635682242257,0.2854566494392794,0.5979499146342278
46,1.4024116162742888,0.41413291830282944,0.5723774858883449,0.2736793091012673,0.6103312591356891
47,1.380890041589737,0.34048561645405634,0.5864847536597934,0.31004806359608966,0.4657661244273186
48,0.6809894690910975,0.406274764583661,0.6105795825521151,0.32425146698951723,0.5099944048202955
49,0.6949977512870517,0.42216626306374866,0.608301614012037,0.29347289105256397,0.5248290995756785
50,1.4676414659390082,0.4446195960044861,0.5622723528317043,0.29048284888267517,0.4788707494735718
51,1.595885905126731,0.8444880725195011,0.5100647198657194,0.293284302408045,0.524842103322347
52,1.463274563352267,1.2674947902560234,1.728489058216413,0.727372503051391,1.235725249235447
53,1.0163545794785025,0.4929586391557347,0.8187993735074997,0.28118027895689013,0.5540608987212181
54,1.6048188724301078,0.6470686292106455,1.3266989767551425,0.31639236076311633,0.6568383127450943
55,1.5448530153794722,0.6280214048244737,1.1761497616767884,0.2802711061455987,0.5342638411305167
56,0.9214346930384636,0.3786532332499822,1.4631033639113111,0.2802045866847038,0.5003757373644755
57,0.9763417653739452,0.4708789465102282,2.403888334830602,0.3068046271800995,0.5530430202682813
58,1.543064887324969,0.5435329613586267,2.4969510078430175,0.2758394402988029,0.5649725956221422
59,1.652515073617299,0.4573447778820991,1.440844511985779,0.3261533189903606,0.5682391558702176
60,1.066071106837346,0.4426179751753807,1.205454096198082,0.317154280164025,0.49495158592859906
61,1.0167626266678174,0.3921273027857145,0.9074564576148988,0.5190288387238979,0.5895147348443667
62,1.6778231958548229,0.4550672024488449,0.8374449759721756,0.32989259470592847,0.5366188089052836
63,2.21114066357796,1.0353192615509033,0.659377358853817,0.8040780271093051,0.957221784889698
64,1.1200073262055714,0.7276366485489739,0.7410084843635559,0.3028325987133113,0.5694261776904265
65,1.165270366451957,0.37783752009272575,0.6392376184463501,0.33834211379289625,0.6527470170209805
