step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/loss_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/loss_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/loss_step,deepseek1.5b_fa_partial_lr1e-6-actor/loss_step,deepseek1.5b_fa_partial_lr1e-5-actor/loss_step
2,0.0012755468487739563,-0.001770637929439545,-0.010533586144447328,0.0035707131028175354,0.0012359917163848877
3,0.0010569393634796145,,-0.012151561677455902,0.0015852674841880798,0.006524041295051575
4,0.01089579239487648,0.025707822293043137,-0.003088492900133133,0.00952233374118805,0.01746688038110733
5,,,,0.006048470735549927,-0.01553356647491455
6,-0.001543477177619934,,,0.016950801014900208,0.01251855492591858
7,,,-0.01484043151140213,0.02318038046360016,-0.015898965299129486
8,-0.01234385371208191,,,-0.016806840896606445,0.002618938684463501
9,-0.0373837873339653,-0.023991629481315613,-0.02404080331325531,0.005418851971626282,-0.02916017174720764
10,-0.018238767981529236,-0.0238187313079834,,0.038708023726940155,-0.020186156034469604
11,-0.008681461215019226,,-0.020599275827407837,-0.002360682934522629,-0.004502575844526291
12,0.012722671031951904,-0.0003358572721481323,,0.024339422583580017,-0.015972614288330078
13,-0.008504040539264679,,,-0.00118187814950943,0.02668830007314682
14,,,0.0110718235373497,0.0038661062717437744,0.03742790222167969
15,-0.015447638928890228,-0.016306988894939423,0.002532511949539185,-0.004991158843040466,0.005913682281970978
16,0.024688903242349625,0.006706014275550842,-0.007875308394432068,-0.003618590533733368,0.03410739451646805
17,0.008475195616483688,0.00879649817943573,0.009649734944105148,-0.01991494745016098,0.033975761383771896
18,0.01963098719716072,,,-0.015250436961650848,0.02981270477175713
19,0.02531285583972931,0.024588026106357574,0.024828504770994183,-0.01343344897031784,0.03475656174123287
20,0.02485654503107071,,,-0.006149396300315857,0.04295612871646881
21,,0.0414309985935688,0.03011225163936615,-0.0025506392121315,0.05329818278551102
22,0.003698274493217468,0.01027350127696991,0.00764349102973938,-0.02596016228199005,0.03033151477575302
23,0.05761267989873886,,0.018008064478635788,-0.0027614980936050415,0.03978390991687775
24,0.01244288682937622,0.046009648591279984,0.033833425492048264,-0.03053760528564453,0.0668015256524086
25,0.020540043711662292,,0.03255721926689148,-0.02883193641901016,0.02391316369175911
26,0.05150428041815758,,,0.009748559445142746,0.05390874296426773
27,,,,0.003559403121471405,0.04091959074139595
28,0.011381082236766815,0.040229788050055504,0.04433652758598328,-0.01122957468032837,0.043776217848062515
29,,0.05038480460643768,0.06812620908021927,0.004440285265445709,0.04749162867665291
30,0.04548277333378792,0.039654120802879333,0.0701497346162796,-0.024196386337280273,0.055647868663072586
31,0.05494796484708786,0.034732989966869354,0.08502908051013947,-0.00938437134027481,0.026075784116983417
32,0.02904023602604866,0.038276828825473785,,-0.01708381623029709,0.05233202874660492
33,0.03742006793618202,0.04858502093702555,,0.018453426659107208,0.03815727308392525
34,0.0423385389149189,0.05607219412922859,0.09338419139385223,0.002170063555240631,0.03803691267967224
35,0.0674342829734087,0.034319039434194565,,0.007066637277603149,0.04421526566147804
36,0.05000592023134232,0.04991326946765184,,0.03311198577284813,0.040352556854486465
37,0.05379722826182842,0.0413914555683732,0.114418663084507,0.03756699711084366,0.034586730878800154
38,0.051802849397063255,0.04828677326440811,0.0799400769174099,0.004316948354244232,0.045082234777510166
39,0.07430563308298588,0.046677421778440475,,0.05542590469121933,0.04021677002310753
40,0.05095169320702553,0.04378956463187933,0.11306463554501534,0.027743719518184665,0.03805691748857498
41,0.04436087608337402,0.036893969401717186,0.0973530150949955,0.026419155299663544,0.028013089671730995
42,0.04907721094787121,0.04735395102761686,0.07573661208152771,0.019615717232227325,0.031633639708161354
43,0.04923730157315731,0.055890077725052834,-0.02737553813494742,0.04860469698905945,0.02851370768621564
44,0.06401535961776972,0.04017436131834984,-0.0200751475058496,0.03497328609228134,0.021294332575052977
45,0.05258787609636784,0.03478547744452953,-0.007478358224034309,0.04485742747783661,0.02776391338557005
46,0.05723740719258785,0.04718569666147232,-0.011762473732233047,0.03937331587076187,0.046503680758178234
47,0.06170795485377312,0.02624798938632011,-0.010191990062594414,0.05101347714662552,0.025406155735254288
48,0.05422869883477688,0.03217264264822006,-0.003223363310098648,0.045801643282175064,0.03167741745710373
49,0.05982474610209465,0.02518224716186523,-0.0030086971819400787,0.05547027289867401,0.016239376738667488
50,0.04490302875638008,0.026063401252031326,-0.0003770478069782257,0.036385536193847656,0.027391541749238968
51,0.04712577164173126,0.02607341343536973,-0.025215211091563106,0.04231765866279602,0.021348172798752785
52,0.04444819688796997,0.01835014298558235,-0.04044908843934536,0.05109546333551407,0.016946934163570404
53,0.037990177515894175,0.021793056279420853,-0.07403959892690182,0.07872794521972537,0.013831440592184665
54,0.04789181053638458,0.024263205006718636,-0.05665378551930189,0.05399097502231598,0.011038077995181084
55,0.045847875997424126,0.024851959198713303,-0.08283833786845207,0.06378509104251862,0.01771013136021793
56,0.04803547216579318,0.020334584638476372,-0.047948036110028625,0.054492102935910225,0.03250396251678467
57,0.04047249443829059,0.01935608685016632,-0.036674278788268566,0.06828639470040798,0.02113444171845913
58,0.03336393088102341,0.02047664299607277,-0.030083203688263893,0.0683718640357256,0.02612469531595707
59,0.04019930213689804,0.015191002283245323,-0.07803915743716061,0.05980314314365387,0.026087294798344377
60,0.04063069494441152,0.016158856451511383,-0.08016175497323275,0.0568938460201025,0.01756397821009159
61,0.03195649012923241,0.01656214753165841,-0.10172586888074876,0.04657415277324617,0.02300780639052391
