step,deepseek1.5b_sync_8gpu_lr3e-6-critic/score/mean_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-critic/score/mean_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-critic/score/mean_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-critic/score/mean_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-critic/score/mean_step,deepseek1.5b_sync_8gpu_lr5e-6-critic/score/mean_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-critic/score/mean_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-critic/score/mean_step,deepseek1.5b_fa_partial_lr1e-6-critic/score/mean_step,deepseek1.5b_fa_partial_lr1e-5-critic/score/mean_step,deepseek1.5b_sync_lr1e-5-critic/score/mean_step,deepseek1.5b_sync_lr1e-6-critic/score/mean_step
1,-1.0670089721679688,-1.0024337768554688,,-1.0833120346069336,,-1.0261049270629885,,,,,-1.020261526107788,-1.0041110515594482
2,-1.1542537212371826,-1.1331391334533691,-1.0594439506530762,-1.1328630447387695,-1.0438973903656006,-1.148831844329834,-1.0503897666931152,-1.1696159839630127,-0.9788854122161864,-1.018247365951538,-1.1654400825500488,-1.162700653076172
3,-1.1286911964416504,-1.1535439491271973,-1.032421588897705,-1.1022155284881592,,,-1.0710608959197998,,-1.075263261795044,-1.077181339263916,-1.0677530765533447,-1.1452665328979492
4,-1.1496610641479492,-1.1132709980010986,-1.1132361888885498,-1.089869499206543,-1.1569137573242188,-1.115098237991333,-1.1146204471588137,-1.1471331119537354,-1.1070406436920166,-1.129030704498291,-1.079404354095459,-1.151559591293335
5,-0.966278314590454,-0.9391403198242188,,-0.8579308986663818,,-0.9193940162658693,,,-1.0380465984344482,-1.016963243484497,-0.8312828540802002,-0.973780632019043
6,,-0.9926540851593018,-1.0461328029632568,,,-0.9907326698303224,,,-1.0720345973968506,-1.0469317436218262,-0.8383450508117676,-1.0929193496704102
7,-1.0289123058319092,-1.00052809715271,,-0.857252836227417,,-1.0593574047088623,-1.1697585582733154,-1.0785441398620603,-1.2552807331085205,-1.095168113708496,-0.8016765117645264,-1.1654980182647705
8,-0.8299987316131592,,-0.8577778339385986,,,-0.7438919544219971,,-0.6855106353759766,-1.0270562171936035,-0.8494873046875,-0.388638973236084,-0.9730355739593506
9,-0.7228221893310547,-0.5134365558624268,-0.8747315406799316,,-0.9982912540435792,-0.4833064079284668,-0.8811469078063965,-0.5518760681152344,-1.0558712482452393,-0.8040387630462646,-0.24097251892089844,-0.8969972133636475
10,,,-0.7867052555084229,-0.2578282356262207,-0.9198896884918212,,,-0.5424284934997559,-1.1266536712646484,-0.7112653255462646,-0.22688674926757812,-0.960956335067749
