step,deepseek1.5b_sync_8gpu_lr3e-6-critic/returns/mean_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-critic/returns/mean_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-critic/returns/mean_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-critic/returns/mean_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-critic/returns/mean_step,deepseek1.5b_sync_8gpu_lr5e-6-critic/returns/mean_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-critic/returns/mean_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-critic/returns/mean_step,deepseek1.5b_fa_partial_lr1e-6-critic/returns/mean_step,deepseek1.5b_fa_partial_lr1e-5-critic/returns/mean_step,deepseek1.5b_sync_lr1e-5-critic/returns/mean_step,deepseek1.5b_sync_lr1e-6-critic/returns/mean_step
1,-0.10951226204633711,-0.11540323495864868,,-0.12466356158256532,,-0.13051564991474152,,,,,-0.12891212105751038,-0.11603809148073196
2,-0.1138107180595398,-0.09958379715681076,-0.13106326758861542,-0.10400770604610445,-0.12274531275033952,-0.10669710487127304,-0.12393061071634293,-0.10877303779125214,-0.1298481822013855,-0.13974586129188538,-0.12186598777770996,-0.11367061734199524
3,-0.10172908753156662,-0.10533999651670456,-0.13240864872932434,-0.1011047512292862,,,-0.122361920773983,,-0.11596377193927764,-0.1347900032997131,-0.11512938886880876,-0.10765904188156128
4,-0.12928546965122223,-0.13168306648731232,-0.10696201771497726,-0.11847752332687378,-0.1158641278743744,-0.10432110726833344,-0.10414981842041016,-0.1271611452102661,-0.12490421533584596,-0.12120138108730316,-0.12720395624637604,-0.1207643747329712
5,-0.12238249182701112,-0.13284246623516083,,-0.14951220154762268,,-0.11926783621311188,,,-0.1282457858324051,-0.12287133187055588,-0.141829252243042,-0.139149010181427
6,,-0.12847520411014557,-0.12045565992593764,,,-0.12352629005908966,,,-0.11835458874702454,-0.11716964095830916,-0.13916736841201782,-0.115458182990551
7,-0.12768930196762085,-0.1367713063955307,,-0.16310909390449524,,-0.12452463060617448,-0.10954871028661728,-0.12606549263000488,-0.10835068672895432,-0.12687620520591736,-0.15207837522029877,-0.10977575927972794
8,-0.1559450328350067,,-0.13715098798274994,,,-0.16652332246303558,,-0.1635913848876953,-0.12415337562561037,-0.1524782031774521,-0.16745179891586304,-0.13794635236263275
9,-0.17135530710220337,-0.17765256762504578,-0.13756723701953888,,-0.1339182406663895,-0.17257344722747803,-0.13140076398849487,-0.17390918731689453,-0.12241675704717636,-0.15243850648403168,-0.19547051191329956,-0.1459211707115173
10,,,-0.14441515505313873,-0.1594865769147873,-0.1280968338251114,,,-0.15913204848766327,-0.11917443573474884,-0.15840840339660645,-0.1702007353305817,-0.14003287255764008
11,-0.15196485817432404,-0.1528785228729248,-0.14753776788711548,-0.16881133615970612,,,-0.14377343654632568,,-0.1079414114356041,-0.15877482295036316,-0.17813296616077423,-0.12329719215631484
12,-0.16212531924247742,-0.1576022058725357,-0.15460190176963806,,-0.11809799820184708,-0.16259004175662994,,-0.1291084736585617,-0.12307620048522948,-0.15645013749599457,-0.17304682731628418,-0.12267383188009262
13,,-0.14372840523719788,-0.13966570794582367,,,,,,-0.101405531167984,-0.14557693898677826,-0.1496199667453766,-0.1305452287197113
14,-0.16362391412258148,-0.14262603223323822,,-0.14301419258117676,,-0.13941848278045654,-0.1513003408908844,-0.19462411105632785,-0.13951601088047028,-0.15409064292907715,-0.11532618850469588,-0.13232119381427765
15,-0.2017008364200592,-0.17366063594818115,-0.15798261761665344,-0.14856955409049988,-0.15330982208251953,-0.16926944255828855,-0.14872212707996368,-0.30542147159576416,-0.12903375923633575,-0.16505955159664154,-0.1328970342874527,-0.13550502061843872
16,-0.1681111603975296,,-0.16192205250263214,,-0.1794022023677826,,-0.15362317860126495,,-0.1544552743434906,-0.1533583402633667,-0.10417643934488297,-0.13058388233184814
17,-0.1620937138795853,-0.17435793578624725,-0.13899607956409454,-0.10607538372278214,-0.1573321968317032,-0.13833852112293243,-0.13732300698757172,,-0.1232532486319542,-0.14655277132987976,-0.08653108775615692,-0.15696027874946594
18,-0.1533154845237732,-0.14970919489860535,-0.1597357839345932,-0.10490414500236513,,-0.10492561012506484,,,-0.13201390206813812,-0.13585691154003143,-0.09879523515701294,-0.14795741438865662
19,-0.17005792260169983,-0.15161043405532837,-0.16869109869003296,-0.10045793652534483,-0.17340023815631866,,-0.12129636853933334,-0.09876097738742828,-0.1489887237548828,-0.13536496460437775,-0.10427415370941162,-0.1523772031068802
