step,deepseek1.5b_sync_8gpu_lr3e-6-response_length/mean_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-response_length/mean_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-response_length/mean_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-response_length/mean_step,deepseek1.5b_sync_8gpu_lr5e-6-response_length/mean_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-response_length/mean_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-response_length/mean_step,deepseek1.5b_fa_partial_lr1e-6-response_length/mean_step,deepseek1.5b_fa_partial_lr1e-5-response_length/mean_step,deepseek1.5b_sync_lr1e-5-response_length/mean_step,deepseek1.5b_sync_lr1e-6-response_length/mean_step
1,6251.9189453125,6080.4462890625,,6216.931640625,,6144.8134765625,,,,,6149.43359375,6173.9970703125
2,6439.1748046875,6434.05859375,5981.3408203125,6393.1484375,6021.291015625,6382.1337890625,6000.26953125,6417.734375,5906.1279296875,5906.6826171875,6398.32421875,6427.23828125
3,6344.1923828125,6381.279296875,5963.0166015625,6385.0849609375,,,6058.3095703125,,6103.51171875,6049.572265625,6320.78515625,6427.1806640625
4,6248.9091796875,6238.5087890625,6333.40625,6139.685546875,6336.828125,6182.9423828125,6317.001953125,6285.59765625,6173.125,6288.572265625,6100.7080078125,6237.7705078125
5,5863.546875,5727.8505859375,,5597.037109375,,5715.0869140625,,,6024.2158203125,6001.3955078125,5583.447265625,5861.125
6,,5994.267578125,6130.564453125,,,6070.7412109375,,,6152.5263671875,6067.556640625,5596.6845703125,6289.9521484375
7,6248.1328125,6027.8291015625,,5579.697265625,,6177.888671875,6407.4462890625,6168.9228515625,6582.638671875,6217.310546875,5542.6533203125,6397.91796875
8,5720.3955078125,,5603.076171875,,,5398.1298828125,,5322.955078125,5896.306640625,5625.125,4471.5439453125,5901.85546875
9,5315.724609375,5013.9794921875,5776.810546875,,5986.7626953125,4923.3525390625,5812.1748046875,4786.951171875,6101.306640625,5488.5751953125,3958.4140625,5747.84765625
10,,,5695.36328125,3909.0166015625,5857.86328125,,,4707.16796875,6330.6728515625,5458.119140625,3860.763671875,5851.2626953125
11,5505.4189453125,5533.59765625,5455.955078125,4366.2666015625,,,5750.66796875,,6228.17578125,5121.455078125,4124.6611328125,6394.767578125
12,5035.962890625,5188.6865234375,5470.4228515625,,5900.5087890625,4618.9755859375,,3762.919921875,6342.5380859375,5506.755859375,3736.962890625,6102.015625
13,,5182.1416015625,4817.322265625,,,,,,6174.294921875,4434.716796875,3722.3076171875,6031.2353515625
14,4559.392578125,4848.54296875,,3575.5283203125,,4032.5224609375,4640.451171875,3024.7216796875,5556.1318359375,4316.599609375,3436.93359375,5679.30078125
15,4353.984375,4722.0048828125,5066.7978515625,3310.7578125,5227.89453125,3777.525390625,5016.5830078125,3117.162109375,6001.9287109375,4648.19140625,3116.8125,5727.8837890625
16,4164.0888671875,,4597.7099609375,,4583.994140625,,4938.548828125,,5653.828125,4186.14453125,3057.119140625,5818.7705078125
17,3813.0166015625,4373.314453125,4818.9326171875,2917.275390625,4712.0712890625,3140.306640625,4653.560546875,,5747.2880859375,4271.7294921875,2987.85546875,5354.82421875
18,3606.3505859375,4443.46484375,4650.1240234375,2803.5126953125,,2825.4384765625,,,5798.7763671875,4249.3623046875,2915.6318359375,5270.03125
19,3861.3515625,4581.3671875,4402.2841796875,3038.173828125,4229.3583984375,,4221.0322265625,1718.927734375,5343.208984375,3955.119140625,3072.931640625,5519.056640625
20,,4695.6611328125,4682.439453125,2918.3310546875,,2971.48046875,,1566.49609375,5814.6337890625,3994.841796875,3227.216796875,5325.47265625
21,3248.3271484375,4141.6845703125,,2607.822265625,4161.6259765625,2453.1494140625,3983.2587890625,1778.3828125,5462.5986328125,3958.5234375,2813.2490234375,4969.6494140625
22,,4340.4755859375,4814.599609375,2586.7607421875,4671.2919921875,2440.6767578125,4358.197265625,1618.8232421875,5879.6015625,4382.095703125,2749.5009765625,4962.919921875
23,,4375.0419921875,4072.2646484375,2713.916015625,,2466.0224609375,3744.970703125,1616.419921875,5211.87890625,4028.3193359375,2908.9140625,5254.9892578125
24,2692.529296875,4039.7138671875,4984.88671875,2600.478515625,3993.5107421875,2267.685546875,3790.5771484375,1831.48828125,5400.142578125,3828.5087890625,2674.8232421875,4842.603515625
25,2735.087890625,4037.4560546875,4747.431640625,2706.126953125,,,3845.4541015625,1710.72265625,5662.4462890625,4299.6552734375,2684.826171875,4699.310546875
26,2612.970703125,4017.1025390625,3693.072265625,2666.634765625,,,,1639.09375,4771.865234375,3567.962890625,2654.076171875,4720.1162109375
