step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-reward/overlong_reward_mean_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-reward/overlong_reward_mean_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-reward/overlong_reward_mean_step,deepseek1.5b_fa_partial_lr1e-6-reward/overlong_reward_mean_step,deepseek1.5b_fa_partial_lr1e-5-reward/overlong_reward_mean_step
2,-0.40710020065307617,-0.4091317653656006,-0.4078116416931152,-0.3929479122161865,-0.3912942409515381
3,-0.4113278388977051,,-0.4304358959197998,-0.42877888679504395,-0.428743839263916
4,-0.4589393138885498,-0.4596481323242187,-0.4486048221588135,-0.4312593936920166,-0.455202579498291
5,,,,-0.41304659843444824,-0.407588243484497
6,-0.4289453029632568,,,-0.4411752223968506,-0.43560361862182617
7,,,-0.46077418327331543,-0.4877026081085205,-0.4486837387084961
8,-0.35191845893859863,,,-0.3903374671936035,-0.3494873046875
9,-0.3884034156799317,-0.4084475040435791,-0.3850531578063965,-0.42501187324523926,-0.34700751304626465
10,-0.3745958805084229,-0.3925459384918213,,-0.4567317962646485,-0.34407782554626465
11,-0.3247361183166504,,-0.36722683906555176,-0.4367525577545166,-0.28652405738830566
12,-0.3318510055541992,-0.3891069889068603,,-0.45226001739501953,-0.3256113529205322
13,-0.26314449310302734,,,-0.4343650341033935,-0.21608638763427737
14,,,-0.2018735408782959,-0.3451683521270752,-0.1830124855041504
15,-0.2769908905029297,-0.30441975593566895,-0.2582879066467285,-0.4103353023529053,-0.22893953323364255
16,-0.23007631301879883,-0.23838114738464355,-0.24478960037231445,-0.36648106575012207,-0.1842799186706543
17,-0.2443399429321289,-0.25364255905151367,-0.20517420768737793,-0.37752532958984375,-0.19541668891906736
18,-0.21745681762695312,,,-0.38086938858032227,-0.16135859489440918
19,-0.2032742500305176,-0.19685602188110352,-0.14972591400146484,-0.3289830684661865,-0.14694762229919434
20,-0.21160626411437988,,,-0.3782005310058594,-0.1304764747619629
21,,-0.17441296577453613,-0.09241080284118652,-0.35799241065979004,-0.12760615348815918
22,-0.22759437561035156,-0.22124052047729492,-0.1082146167755127,-0.3997063636779785,-0.17483043670654297
23,-0.15168452262878418,,-0.05074453353881836,-0.3051338195800781,-0.1311042308807373
24,-0.26375365257263184,-0.1449289321899414,-0.05440163612365723,-0.34210848808288574,-0.1189112663269043
25,-0.2308518886566162,,-0.05028700828552246,-0.3631100654602051,-0.15676307678222656
26,-0.12639713287353516,,,-0.2798163890838623,-0.10026121139526369
27,,,,-0.2749643325805664,-0.12107324600219728
28,-0.22369861602783203,-0.08676600456237793,-0.0357823371887207,-0.2875189781188965,-0.0989537239074707
29,,-0.06806111335754395,-0.06665301322937012,-0.30344438552856445,-0.070892333984375
30,-0.11962556838989258,-0.07568192481994629,-0.15558290481567383,-0.32293701171875,-0.09627985954284668
