step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-reward/overlong_rate_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-reward/overlong_rate_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-reward/overlong_rate_step,deepseek1.5b_fa_partial_lr1e-6-reward/overlong_rate_step,deepseek1.5b_fa_partial_lr1e-5-reward/overlong_rate_step
2,0.6328125,0.65234375,0.626953125,0.62109375,0.6220703125
3,0.6572265625,,0.658203125,0.66796875,0.65625
4,0.7138671875,0.7119140625,0.701171875,0.6953125,0.697265625
5,,,,0.6484375,0.6396484375
6,0.671875,,,0.673828125,0.6611328125
7,,,0.7353515625,0.75,0.6962890625
8,0.580078125,,,0.6279296875,0.5791015625
9,0.6123046875,0.654296875,0.62109375,0.6611328125,0.5654296875
10,0.603515625,0.6259765625,,0.6982421875,0.5615234375
11,0.560546875,,0.5986328125,0.681640625,0.5048828125
12,0.5546875,0.6328125,,0.7041015625,0.564453125
13,0.458984375,,,0.6640625,0.3916015625
14,,,0.419921875,0.568359375,0.3603515625
15,0.486328125,0.5244140625,0.4833984375,0.64453125,0.4248046875
16,0.4140625,0.421875,0.4873046875,0.58984375,0.3447265625
17,0.4580078125,0.44140625,0.4453125,0.59375,0.3671875
18,0.4248046875,,,0.6181640625,0.34375
19,0.388671875,0.3681640625,0.3583984375,0.5439453125,0.3115234375
20,0.4296875,,,0.6103515625,0.298828125
21,,0.376953125,0.2998046875,0.5546875,0.318359375
22,0.455078125,0.4248046875,0.3818359375,0.6318359375,0.3798828125
23,0.3271484375,,0.2392578125,0.509765625,0.3173828125
24,0.47265625,0.3251953125,0.228515625,0.5478515625,0.283203125
25,0.447265625,,0.2001953125,0.6015625,0.3623046875
26,0.28125,,,0.458984375,0.251953125
27,,,,0.453125,0.275390625
28,0.4287109375,0.228515625,0.109375,0.498046875,0.24609375
29,,0.201171875,0.1318359375,0.4990234375,0.212890625
30,0.2880859375,0.2333984375,0.28125,0.546875,0.2548828125
31,0.2919921875,0.1875,0.2294921875,0.48828125,0.263671875
32,0.380859375,0.251953125,,0.494140625,0.2236328125
33,0.3291015625,0.140625,,0.4111328125,0.1640625
34,0.2763671875,0.201171875,0.130859375,0.4365234375,0.1982421875
35,0.23046875,0.173828125,,0.4287109375,0.1494140625
36,0.302734375,0.1640625,,0.3701171875,0.1484375
37,0.251953125,0.1171875,0.1357421875,0.341796875,0.115234375
38,0.2431640625,0.1904296875,0.06640625,0.4501953125,0.1416015625
39,0.166015625,0.1298828125,,0.333984375,0.1044921875
40,0.2666015625,0.1201171875,0.0634765625,0.3759765625,0.1103515625
41,0.28515625,0.1513671875,0.0556640625,0.40625,0.115234375
42,0.1787109375,0.1240234375,0.0380859375,0.4052734375,0.099609375
43,0.1630859375,0.076171875,0.0029296875,0.322265625,0.046875
44,0.2236328125,0.1064453125,0.00390625,0.3603515625,0.048828125
45,0.21875,0.078125,0.0078125,0.3544921875,0.060546875
46,0.1865234375,0.1259765625,0.0166015625,0.37109375,0.0927734375
47,0.2021484375,0.1005859375,0.015625,0.349609375,0.0693359375
