step,deepseek1.5b_sync_8gpu_lr3e-6-rollout_corr/training_ppl_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-rollout_corr/training_ppl_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-rollout_corr/training_ppl_step,deepseek1.5b_sync_8gpu_lr5e-6-rollout_corr/training_ppl_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-rollout_corr/training_ppl_step,deepseek1.5b_sync_lr1e-5-rollout_corr/training_ppl_step,deepseek1.5b_sync_lr1e-6-rollout_corr/training_ppl_step
1,2.0681779838345022,2.0407053878487544,2.0583657557040116,2.0424626572378752,,2.0434828388622437,2.041634833270854
2,2.022543451060419,2.0157856375950836,2.011341388245205,2.0066633186825027,1.9962535606963296,2.0032478674099994,2.029134541586205
3,2.040518328713046,2.0428643902907004,2.0924142620393207,,,2.109362133509583,2.077095084629216
4,1.973819489392002,1.979366153143765,1.9675012728707355,1.9787797236984423,2.113343803253439,1.9736615944393845,1.9839024297641903
5,2.049508293709123,2.0544355260889704,2.0314137734472753,2.061092793389603,,1.9981128841638565,2.0471178827489296
6,,1.9535373161946024,,1.9470041517553656,,1.8748800717294216,1.9488661910096805
7,1.9841891381512864,1.9810362293251924,1.8877114409580824,1.9735295635394072,2.5242953510131945,1.8790253018960357,1.988672229942385
8,2.004230899207386,,,1.9970174421997449,2.9294041624586833,1.8619058362673968,2.0057638192392258
9,2.0256630658711257,2.0641623242861695,,2.061063489233944,3.1132358967819633,1.8611417010165097,2.033092518223495
10,,,1.7899454209421362,,3.610051362610915,1.7326336252902237,1.9808626238529272
11,1.888636548549701,1.9602036821918611,1.777120554819703,,,1.7110577670236429,1.9960417364324845
12,1.870456584952247,1.9633975280700504,,1.825940056300875,22.84158524003896,1.6996586480074458,1.994345325848152
13,,1.8560573488876624,,,,1.649417844635469,1.8717306631452897
14,1.7276338589462368,1.8400747533355442,1.6995223932541337,1.7079645770377123,414.1695388532347,1.6438388818502423,1.8866700587794183
15,1.7623542412405921,1.8963290398173471,1.6904734701526412,1.7563486446936925,1487.4013619727275,1.6486623721278233,1.9756456803024551
16,1.7385421805083752,,,,,1.6506218530915,1.9557288968708455
17,1.6901607543230055,1.8246724552009257,1.6411883678547172,1.6824427046205686,,1.6242823475463823,1.9389701628763425
18,1.6488931620350251,1.8078387528657909,1.623085949747335,1.642699798302991,,1.594296195825865,1.8504145711257651
19,1.6684735489210911,1.9084438577745901,1.6372276687103768,,6280.401323761259,1.630312157008383,1.9109575102726621
20,,1.9256260248262491,1.637809925845691,1.6684350997886874,10366.054302215576,1.6311891342823703,1.978824570775032
21,1.676484080341955,1.832566341012716,1.6055903839759338,1.6596554348038302,25219.92643301827,1.6254520980375151,1.9555877321532795
22,,1.7686638219221946,1.5328654180734584,1.5817080736160278,47492.50577016977,1.5283284445361394,1.8171066477894784
23,,1.8289059638496368,1.5591876938939095,1.6295588600138824,87690.16387469952,1.6051691540262916,1.8856537799040476
24,1.6163340147584675,1.7908495917158611,1.5462193434175693,1.6381283240283238,111057.18912760416,1.5520811758935449,1.868886536359787
25,1.5685081642121077,1.7612988405813603,1.4918524753302336,,119687.66763070914,1.488039581105113,1.7815438576719975
26,1.581896754864015,1.7767529202432468,1.491614408418536,,126125.27073317308,1.4934915930796893,1.796285418876961
27,1.6036536723375319,1.7908205069601535,,,,1.5095799508548915,1.8717906930616923
28,1.6063462913864188,,1.4839060433754108,1.5991799227501218,133885.70967610678,1.4693121125823574,1.8405289991813547
29,1.581514357669013,1.6938253036485271,1.4658734778824605,1.5800527118538554,136823.61323879077,1.4455220012201204,1.8121124808826752
30,1.5549245939866916,1.7277202586884852,1.4576964946953874,,138923.27589699073,1.4412949332281162,1.7323202738395105
31,,,1.4644641727209091,1.585168888302226,140502.90712890626,1.455166095867753,1.7765163460280746
32,1.5547748543322086,1.6959387097093794,1.4372543132886657,1.5472805387363202,141622.60493607956,1.3997296715776126,1.770220646634698
33,1.586732151731849,1.7056960151172602,1.4408888805657625,1.5760545824703418,142305.32310267858,1.4315490173857386,1.7575519296806306
34,1.5870507128536702,1.6987638854636595,1.4390814669430256,1.5629473395253484,,1.4157936753411042,1.7394318337241808
35,,,1.4090947560966014,1.5261364645863835,143379.4251185826,1.3892957701494821,1.7463453490483134
36,1.5701538280742924,1.7170068910893272,1.4264318023513003,,,1.4051796212428953,1.739348940425
37,1.5313753318041563,1.5986370980105502,1.3934874291482724,1.5157130650783839,,1.3768444151470536,1.6781175340024324
38,1.5446323686175876,1.6167401681569489,1.3980478554179794,1.5256459386767571,144726.31383463542,1.3924282752984278,1.7151172066537232
39,1.5473756049024432,1.6231018780393804,1.3930438980460167,1.5251680673697057,145137.4524515086,1.3868048552423715,1.717115666787579
40,1.5212502043980818,1.5714105570858174,1.3653318870526094,,,1.3625441978617412,1.6801113390922546
41,1.5655711679122386,1.5900890119373798,1.3909297037869692,1.5266650481972583,,1.393879587451617,1.7168343545130964
42,1.520042099450764,1.5079610877566867,1.3562144537766774,1.4952076240664436,146185.3486071135,1.354834229108833,1.6482118955598428
43,1.5078694000840187,1.5125378525637565,,1.4886943428289323,146282.60747327303,1.3404236105935914,1.6252981043205812
44,1.5149207565933471,1.4766865805831066,1.3478401729038785,1.5118626675435476,146477.69105113635,1.339797037403758,1.6166569088794749
45,1.5108862199434419,1.5089887539329736,1.3589187714942663,1.5175330688556037,146595.84481811523,1.3476282404528723,1.6353968075093102
46,1.5044260278746888,1.4517694897949696,1.3465067825856665,1.5037288960160278,146822.4301147461,1.3121497457226117,1.6317436387564273
47,1.4838519523272644,1.4455581914360929,,1.472396932542324,,1.3174586970181692,1.6175006245789318
48,1.5123524457216262,1.455278812065011,1.3427293464923515,1.4794339928776026,147116.36083984375,1.319389819008548,1.6231927167003353
49,1.4723036344114102,1.4588370812790734,1.319816444956121,,147437.5663850204,1.2964711167982643,1.6048101416748504
50,1.4780168303421566,1.4251587215811017,1.323274320898912,1.445447307583448,147425.75167713995,1.2888679765164852,1.6139527792957695
51,1.4494424040828433,1.400856507260625,1.3007011208683252,1.4056456073334342,147294.82361421132,1.2872856304049491,1.5564553959502114
52,1.4478675393681777,1.419629491865635,1.2995547426816745,1.3967020072435077,147631.1867094494,1.2730697352439164,1.5582359873435714
53,1.4629604393565976,1.4004106272011996,1.3032574696760428,1.3957659049253714,147701.0436268682,1.2816893325040215,1.581584655764428
