step,deepseek1.5b_sync_8gpu_lr3e-6-rollout_corr/training_log_ppl_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-rollout_corr/training_log_ppl_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-rollout_corr/training_log_ppl_step,deepseek1.5b_sync_8gpu_lr5e-6-rollout_corr/training_log_ppl_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-rollout_corr/training_log_ppl_step,deepseek1.5b_sync_lr1e-5-rollout_corr/training_log_ppl_step,deepseek1.5b_sync_lr1e-6-rollout_corr/training_log_ppl_step
1,0.6831600326793582,0.6744962720373688,0.6809850615564357,0.6733549794974341,,0.673034125831963,0.6738421842455864
2,0.669600491978876,0.6686777018577509,0.6686444268203698,0.6652284628087348,0.660423842309923,0.6643369723479826,0.6731355744158174
3,0.6638804237461753,0.6634756404046829,0.6708258737779254,,,0.671515125905474,0.6733959634880443
4,0.6556831934813703,0.6576488733375341,0.6520103275013919,0.6556725331836126,0.7153563434051142,0.654394835970083,0.660795307142681
5,0.6829609561217836,0.6827020394365962,0.6735352247487754,0.6874136085403554,,0.6584540725685656,0.6830602049722518
6,,0.6446088520100429,,0.64137384488151,,0.6072071374393999,0.6428906905154387
7,0.6577636807152395,0.6564677051224169,0.6156380604486913,0.6547217793254689,0.8627098081850035,0.611589978612028,0.6626773760295831
8,0.6634629556426296,,,0.6629113410844615,0.9841539798010336,0.5994447532866616,0.6695702976535961
9,0.6621682392433286,0.6800195538024936,,0.6801336577135912,0.9857682402738752,0.5876907901021472,0.6693601574657894
10,,,0.5609468343734209,,1.10128597192028,0.5296297521396939,0.6534028533028393
11,0.6080422895267988,0.6380405389250089,0.5537601967516821,,,0.5164169288240373,0.6551585455353444
12,0.6031880361933104,0.6451226595688511,,0.5814130123871476,1.6107024431228638,0.5141810457118683,0.6602549121725834
13,,0.5992873435009372,,,,0.4867765493001099,0.6097634507781442
14,0.5336525660911293,0.5920040839484759,0.5176241900055454,0.5224688285319455,3.0758312344551086,0.483291796259582,0.6149502742104233
15,0.5466503510990787,0.6156913098495673,0.5090825451652006,0.5443501763597682,4.692635285886044,0.4834320837550838,0.6489746543452327
16,0.5383244804417093,,,,,0.4866036552597176,0.6399582533574686
17,0.5074043345552954,0.5792633355231374,0.4792253434614734,0.5006325104800255,,0.4685099753551185,0.6233321486138984
18,0.48521667435908544,0.5673998433630913,0.4707215155164401,0.48083991858930814,,0.4514232605782359,0.592926159450734
19,0.49728005615595194,0.610819335462469,0.47701151652828505,,7.127801080899579,0.4704455167882972,0.6194029472386225
20,,0.6238135530877469,0.4769484748442967,0.4951140500435775,8.058223648713184,0.47033828869462013,0.6493895928326406
21,0.5016989121601606,0.5801060739904642,0.46023812130666697,0.491069577427374,9.3996423887355,0.4712871928654966,0.6405680362135172
22,,0.5518184688483034,0.41875614550633306,0.4479170653062898,10.384175341862898,0.4136205268796624,0.5762131538774286
23,,0.581863306612978,0.4331073821755126,0.47466635098680854,11.300598680973051,0.4575295416130261,0.6111412814756234
24,0.4669740632642061,0.5622774191453295,0.42633246561806454,0.4797136729911846,11.607589868704478,0.4274847918190062,0.6020495874541146
25,0.44094860618934034,0.5471417954412557,0.3924811515491456,,11.685065975556007,0.3874842287506908,0.561296479945833
26,0.4498307889719543,0.5538350904585215,0.39309042966924607,,11.740294474821823,0.39155396981499135,0.5710791929333068
27,0.45897990255616605,0.5588343007490039,,,,0.4006217692845634,0.6002682197839022
28,0.46221723324722713,,0.3880937990800637,0.45625192549471794,11.801927665869394,0.3742207960764829,0.5852872111067614
29,0.446153543570212,0.5059348546470014,0.3757209046008555,0.44492467532032415,11.823744011961896,0.35956850384051603,0.5677583060197292
