step,deepseek1.5b_sync_8gpu_lr3e-6-rollout_corr/k3_kl_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-rollout_corr/k3_kl_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-rollout_corr/k3_kl_step,deepseek1.5b_sync_8gpu_lr5e-6-rollout_corr/k3_kl_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-rollout_corr/k3_kl_step,deepseek1.5b_sync_lr1e-5-rollout_corr/k3_kl_step,deepseek1.5b_sync_lr1e-6-rollout_corr/k3_kl_step
1,0.0004385278259454363,0.0004357335116744019,0.0004413613265630752,0.0004328684511363818,,0.0004387624105073956,0.0004337712132382876
2,0.0004484384559636174,0.0004513272091097188,0.0004462779058115672,0.0004472917916355872,0.00044674705440139495,0.00044540013998182706,0.0004460573290798693
3,0.0004412403374266837,0.00044244929817428423,0.0004439688999719782,,,0.0004465652752009596,0.0004428964232399696
4,0.0004519564859089023,0.0004567409596756478,0.0004700802619895099,0.0004531984878171484,0.0005914118529391191,0.0004903563822153956,0.0004519540181329861
5,0.00045128428138857735,0.000454395116787232,0.0005175893363229989,0.00045390118203265305,,0.0005587247039784415,0.0004505044759043369
6,,0.0004576213054211361,,0.000453850709623791,,0.00046859061280883906,0.00044023833320857696
7,0.0004631339472550454,0.0004913421835226472,0.0005930839117127106,0.00047162209598768226,0.00098883138216902,0.0005731167330395692,0.00045264214008216934
8,0.00047515296736727814,,,0.0004789606390132624,0.000795702522018952,0.0004994987349959956,0.0004492743131098006
9,0.000483991571112902,0.0005540354123291359,,0.0005376118415241904,0.0009779046326644568,0.0005664627845506306,0.00044373716809786856
10,,,0.000572874670768085,,0.0006963497497803045,0.00054327734450713,0.0004394686597950612
11,0.0004609370724397312,0.0006637325699184424,0.0006009775891584468,,,0.0006566446022437352,0.0004401238484406149
12,0.0005081421350810224,0.0006508405793873543,,0.0005582098120653224,0.0009929495909918014,0.0005749041474363939,0.00045017518530731575
13,,0.0006337442794058399,,,,0.0006278975592134952,0.0004347945511172464
14,0.0004312850813111061,0.0006345387552885638,0.0005734348683640397,0.00044991552668165993,0.0009751215511641932,0.0005756421568730729,0.0004344516680248489
15,0.0004375913507655718,0.0006068949352244518,0.0006526067574705682,0.0004824938759055739,0.003682554201077437,0.0005925916004502062,0.0004495955984083717
16,0.0004660860839067027,,,,,0.0006365321010393513,0.00045455690180860094
17,0.0004181157172008005,0.0005544248130178175,0.000539583307642694,0.000469085031869801,,0.0006337647068076793,0.000441831964436508
18,0.0004072678662991026,0.0005270766970397744,0.0005182774211356272,0.00043400388555407215,,0.0005362909921745467,0.0004295039698017472
19,0.0004205741659331709,0.000519682842919296,0.0006129047734524963,,0.008367611117786769,0.0005662790116427156,0.0004331290882150941
20,,0.0005292794547456842,0.0005786075099812089,0.0004499674326077431,0.0026940605393275083,0.0005436302630338711,0.0004522324814771357
21,0.0004299991084432501,0.0005265082072583027,0.000569859523611973,0.00045218960510990454,0.010109209227916183,0.000546275781051095,0.00045265002123155034
22,,0.0004924803921429914,0.0005079917161007567,0.0004456117165171088,0.0030752934694296876,0.0006241836579248207,0.0004300344813340677
23,,0.0005104130364822096,0.0006154337785119424,0.00046477663363475585,0.009796968825132634,0.0005779619407555649,0.0004399997292784974
24,0.0004106345812033396,0.0004950429039604772,0.0005901108941447762,0.00045083168216104456,0.0028635643529620817,0.0005151081571057147,0.00043517339189358086
25,0.0003954777624585404,0.0004985008363600158,0.0005883610720957222,,0.003826713672599278,0.0004805057389603462,0.00042416359103685176
26,0.00042783660300253697,0.0004890032611973734,0.0005301641335790919,,0.002422374519360696,0.0005360672368671005,0.00042567534992078655
