step,deepseek1.5b_sync_8gpu_lr3e-6-rollout_corr/rollout_ppl_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-rollout_corr/rollout_ppl_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-rollout_corr/rollout_ppl_step,deepseek1.5b_sync_8gpu_lr5e-6-rollout_corr/rollout_ppl_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-rollout_corr/rollout_ppl_step,deepseek1.5b_sync_lr1e-5-rollout_corr/rollout_ppl_step,deepseek1.5b_sync_lr1e-6-rollout_corr/rollout_ppl_step
1,2.067252963613928,2.0397668446219246,2.057416844066609,2.0415465235710144,,2.0425493446574814,2.040703270245682
2,2.0215959809720516,2.014897570337938,2.0104159393480847,2.005753207665223,1.995285927103116,2.0023673286477286,2.0282270775719
3,2.0396210998296738,2.0419226116858997,2.0913589747397454,,,2.108393663830227,2.076148760351506
4,1.972905137230841,1.9784326041012668,1.9665367271412504,1.9778978646817529,2.1120005945364633,1.9726755697020264,1.982991031883808
5,2.0485712155161133,2.0534380805201646,2.0303626554086804,2.060121950727922,,1.9969797683879733,2.0461445705192847
6,,1.9526275488592328,,1.9460564459534897,,1.8739381996914743,1.9479447096586229
7,1.9832448021749431,1.9800774105602788,1.8865963775664567,1.9725615900348537,2.521659548199454,1.877917105704546,1.9877764793870216
8,2.003237364652716,,,1.9960118563551652,2.9270778878739008,1.8609536283183843,2.004855737090111
9,2.024625370769124,2.063000353053212,,2.059853399723349,3.1099683092359234,1.8600905736287432,2.0321385217149084
10,,,1.7888632142650231,,3.6073657789212814,1.731658268453819,1.979966954850569
11,1.8877065286804469,1.9588509845810056,1.7760121622122824,,,1.7098570622503757,1.995107421508202
12,1.8694743975787096,1.9620605310475503,,1.8248188299919241,22.81310132633556,1.6986582466849574,1.9934174819239256
13,,1.8548309901678883,,,,1.6483410894870758,1.870914233782712
14,1.7268786012674824,1.8388323030301503,1.6984614884624114,1.707175903793039,413.70944028695425,1.6429187855124474,1.8857779780402781
15,1.761565152141783,1.8951955010347508,1.6893338852999162,1.7554661615027325,1481.056401183631,1.6476330821928769,1.9747198323408763
16,1.7376823929448924,,,,,1.6495267152786257,1.954798646998115
17,1.6894687728448348,1.8236234944779424,1.640304066414057,1.681597608587016,,1.6232225248082115,1.9380800904412019
18,1.648187038130485,1.806846315274015,1.6222031854447865,1.6420084284175012,,1.5933645274056945,1.8495879068567944
19,1.667763582563826,1.907395501479958,1.6362054105038228,,6219.014412317957,1.6292978472179838,1.910067984691033
20,,1.9245806263009109,1.6367833319874037,1.6676732413470745,10331.724862172054,1.6302722012624145,1.9779114052653313
21,1.6757436553016305,1.8315501881142455,1.6046189325742233,1.6588783951269257,24945.233337402344,1.6245536594873382,1.9546586832829884
22,,1.7677816246305742,1.5320846297037911,1.5809987634420395,47321.63177959736,1.527253162933559,1.816289196908474
23,,1.8279172141225104,1.5582596220076084,1.628788319726785,86765.75901442308,1.6041998284106904,1.884746915300687
24,1.6156794339418412,1.789973524920011,1.5452848312101866,1.637311123749789,110589.358203125,1.5512248776853084,1.868015833199024
25,1.5678257372230289,1.7603902228302877,1.4909854300320151,,119052.7871469351,1.487334367260337,1.7807207717136904
26,1.5811702146341926,1.775875495425586,1.490833979099989,,125630.99079777644,1.4926598282196584,1.7955183435731858
27,1.6029339283704758,1.7898964429895083,,,,1.5088041197685969,1.8709388211369515
28,1.6056206594738696,,1.4830436125034239,1.5984735747701244,133557.1483154297,1.4685861287932649,1.839726040906766
29,1.5808658037866865,1.6929667695210528,1.4649703710487014,1.5793724777667146,136447.10088315216,1.444684079123868,1.8113091270769797
30,1.5543034040444603,1.7268320437934663,1.456904621500718,,138622.7865306713,1.440475289758883,1.7315774232149124
31,,,1.463497115344536,1.5845144387138517,140177.96650390624,1.4542313806712628,1.7757509159855545
32,1.5541317120194436,1.6950098781122105,1.4363946736585804,1.5466096194052117,141284.66036339963,1.3988871059957004,1.7694369065575302
33,1.5860050760209559,1.704742588675939,1.4399154737591744,1.575412103612172,141952.2038504464,1.4307058508076318,1.756806779652834
34,1.5863299932330848,1.697924919713002,1.4382690537720921,1.5622779248576415,,1.4150214936388166,1.7386425251762072
35,,,1.4083595335483552,1.5255207419395451,143094.35257393974,1.3885219873566377,1.7455932247011283
36,1.5694492906332016,1.7160897754571016,1.4256981891102911,,,1.4044297831814463,1.7385509365190894
37,1.5307525958865882,1.597868395295549,1.3927020983476388,1.5150669554346483,,1.375895796637786,1.6774002640293195
38,1.5439772837691836,1.6159683530303566,1.3972839873872305,1.5249786525964737,144416.076171875,1.3916500605441429,1.7143869546170418
39,1.5467482675847255,1.6222800323937805,1.392345156520605,1.5244817783435185,144843.63924434266,1.3860856674611568,1.7163716886403426
40,1.5206660700914187,1.570642226798968,1.3646280081608355,,,1.3618764383036916,1.6794225311279296
41,1.564911045707189,1.5892877792092888,1.3900152016431089,1.5259935426157574,,1.3930920646304177,1.7160325902250575
42,1.5193287020451145,1.5071416308482488,1.355502990739686,1.494551200951849,145878.82370476975,1.354069087831747,1.6474978895141528
43,1.5072443162401516,1.5117792731269877,,1.4880876704340888,145966.52621299343,1.3397823050618172,1.624663575910605
44,1.5142222054302692,1.4758667467638504,1.3471243257323902,1.5112220953617777,146152.20744554923,1.3389780975696517,1.6159804685383428
45,1.5102382792932232,1.5082489621380102,1.3582283057445703,1.516738428341018,146280.55654907227,1.3469872540897794,1.6347512751817703
46,1.5037995230507206,1.451004257425666,1.3457736231031872,1.5029824252535655,146507.513671875,1.3113148407567117,1.6310860511470349
47,1.483230467180948,1.4447994253984309,,1.4716563412830943,,1.3167307217206274,1.6168737061645673
48,1.511769072498594,1.4544912409924329,1.3420035254496794,1.478802452236414,146810.39283511514,1.3187153455687732,1.6224941027661164
49,1.4716608998806853,1.458140196899573,1.3192270855818475,,147113.2898479959,1.2957901834022432,1.6041891565141468
50,1.4773794557367053,1.4243886210024357,1.322500153993949,1.4448538619924236,147088.56158712637,1.2880883529782294,1.6132532706992193
51,1.4488055058888027,1.4002427862184803,1.300050313770771,1.4050262484111284,146940.7720424107,1.2865224439650769,1.5558634367254045
