step,deepseek1.5b_sync_8gpu_lr3e-6-rollout_corr/log_ppl_diff_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-rollout_corr/log_ppl_diff_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-rollout_corr/log_ppl_diff_step,deepseek1.5b_sync_8gpu_lr5e-6-rollout_corr/log_ppl_diff_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-rollout_corr/log_ppl_diff_step,deepseek1.5b_sync_lr1e-5-rollout_corr/log_ppl_diff_step,deepseek1.5b_sync_lr1e-6-rollout_corr/log_ppl_diff_step
1,0.00042400525253239894,0.0004456548186293847,0.0004382138927646818,0.0004368145702296035,,0.0004365518941305144,0.00044288532528081635
2,0.000453207567656848,0.00042205530019145954,0.00043862036766807434,0.0004380847413153538,0.00046643432271374185,0.0004230634628514123,0.00043085943518390493
3,0.0004147260039139332,0.00043883979450693805,0.0004703231063283786,,,0.0004443204514668903,0.00043449265003401194
4,0.0004487586237282199,0.0004517205570255612,0.00047171696969883214,0.0004341243101696984,0.0006181329707715122,0.0004804401608441293,0.0004441924467060703
5,0.0004391012406154553,0.00046881780283401005,0.0004976692635345614,0.0004529654235169306,,0.0005434151688831435,0.00045795539648868104
6,,0.0004517384853291635,,0.0004749239476325982,,0.0004877933522422495,0.0004615108902473568
7,0.0004575198961472861,0.0004632080667219963,0.0005705986858079548,0.00046847065398868506,0.001023845308001783,0.000574778287464639,0.0004376234291367627
8,0.000480306011395217,,,0.0004892089366460981,0.0007829170214744421,0.0004902253650840294,0.00043882238581904474
9,0.0004873144835073618,0.0005293420288631347,,0.0005471413795879618,0.0009676835925211044,0.0005425788319387305,0.0004454470459405656
10,,,0.0005913042321391718,,0.0006587588244378687,0.0005475001856163024,0.0004282887221523463
11,0.0004712454686805009,0.0006478392612489887,0.000598300444181632,,,0.0006739333531375753,0.0004409043829152754
12,0.0005134115098552632,0.0006541263381636229,,0.0005874415391828273,0.0009846916755784398,0.0005681070517377302,0.000447988618097743
13,,0.0006330206757304588,,,,0.0006342903314496787,0.0004236434539199549
14,0.00042864363895963226,0.0006540220077876516,0.0006067471612578419,0.00044972799846231605,0.0009788931512654624,0.0005423479173327906,0.0004556150155458738
15,0.0004274003839523428,0.0005770733114699771,0.0006493486514175727,0.0004856291323331216,0.003405455036212675,0.0006069733313364376,0.0004490977788831807
16,0.0004758285761984856,,,,,0.0006495463067608398,0.0004573750735905223
17,0.000391421148089483,0.0005578098403020704,0.0005247122803507938,0.00047739449579639967,,0.0006429423498559572,0.0004425950687131656
18,0.00041396888508689225,0.0005246551346473893,0.0005263400765843904,0.0004081745390512499,,0.0005742136711882436,0.0004271580505632288
19,0.0004146272678496083,0.0005190525283923665,0.0006064795762669113,,0.007938595357700251,0.0005936992116643422,0.0004439751896276252
20,,0.0005158725793555206,0.0005974240153324759,0.0004369468487161819,0.002982784378848289,0.0005394616673963052,0.0004427185178903386
21,0.00042640203482709654,0.0005270660078773896,0.0005817880610907312,0.00044819152200324826,0.01004291391577031,0.0005375178594501254,0.0004542418925666425
22,,0.0004785321677052289,0.0004961293206680495,0.0004301570343551014,0.003956563253338503,0.000678207260204722,0.00043290195502712387
23,,0.0005143410281312578,0.0005685970036850563,0.000456558497357583,0.010876474936034917,0.0005827354332888552,0.0004585583493220231
24,0.0003856709627797272,0.0004711500684714923,0.0005908106019484269,0.00048236342795604514,0.004194009525478274,0.0005296004642787011,0.0004491550482839557
25,0.00042226997449290593,0.0004954071566579055,0.0005643119375932315,,0.005354319460681067,0.00046404158921262704,0.0004448934625584529
26,0.0004477801082585804,0.0004748397522360329,0.0005173713299882366,,0.003969613627375041,0.0005420502821858136,0.0004132132458400873
27,0.00043026727584134506,0.0004887027098144851,,,,0.0004927512564206284,0.00043978928548540355
28,0.0004352962524636597,,0.0005741853898773182,0.0004286722055365101,0.002476919935967695,0.0004820454142903049,0.0004273657632388543
29,0.0004003154622945918,0.0004837428073537572,0.0006022902532878872,0.0004139057359515463,0.002775416833964814,0.000567392130733424,0.00042537736334224974
30,0.00038290157279586337,0.0004973537889146361,0.0005328748392611859,,0.0021934470563859643,0.0005552169778178196,0.00041529972161067865
31,,,0.0006474269602750421,0.00039632917273940986,0.0023752767136708524,0.0006308715532242104,0.0004182816262936484
32,0.0004050527827779149,0.0005320369750839509,0.0005854347049044341,0.00042176984328118745,0.0023898886716007396,0.0005886235559260166,0.0004206921789133844
33,0.00044381552117158665,0.0005404322904234085,0.0006598937095397162,0.000393973454415094,0.002485491943662055,0.0005794501633098795,0.00041525982944756734
34,0.0004412509932421926,0.0004811128297297693,0.0005562766429761723,0.0004132807227262777,,0.0005334450276683654,0.00043536107843920033
35,,,0.0005135486695849068,0.00039037165836182456,0.0019855470643181305,0.0005495508007077145,0.0004142847633394858
36,0.0004346320442448082,0.0005125234337775313,0.0005001144025926828,,,0.0005315062186133307,0.0004370270816013325
37,0.0003952984520068981,0.0004671330652540069,0.0005498571804968091,0.00041737329497050865,,0.0006758215211292688,0.0004163475584758859
38,0.0004141659036586513,0.0004581266408791862,0.0005384144279248989,0.0004242335124059741,0.002152415345578144,0.0005448739124483689,0.00041478696177294367
39,0.00039204583788507295,0.0004949949403124536,0.0004930667052207127,0.0004357634840382674,0.002020819386134149,0.0005070618583374653,0.0004128715245352645
40,0.000371091211784839,0.00047093383737071485,0.0005055519255126211,,,0.0004768219508111831,0.0003922858402069096
41,0.00040802441684753343,0.0004923873020885594,0.0006414577677560374,0.00043158852804216897,,0.0005513446151238235,0.000447406776415074
42,0.0004551916781464552,0.0005295167948740225,0.0005140657712511635,0.0004292681686070158,0.0021052124640463213,0.0005520929510707685,0.0004193756682013827
43,0.00040240795613585975,0.00048603008619291823,,0.0003982405347290383,0.0021787899010967905,0.0004710969923808404,0.00037974996538336057
44,0.0004464883836504896,0.0005440469762196551,0.0005215431743728178,0.0004153054141673757,0.0022125935462430457,0.0005979623594193649,0.0004047687625875462
45,0.00041637641070116024,0.0004812513762604083,0.0005010002022874137,0.0005049483966179954,0.0021544743872254912,0.00046915884280420214,0.0003836453737252675
46,0.0004068530591986338,0.0005108278444708958,0.0005347389452088876,0.0004886059293900185,0.0021398442172539944,0.0006219290548436956,0.0003968956533346677
47,0.0004083595690283838,0.0005071602454599665,,0.0004888782812735198,,0.000540839713729773,0.0003699945162116305
48,0.0003752063486347522,0.0005268131696885532,0.0005296713998089986,0.000418617208185168,0.0020944385067100243,0.0005018102245365176,0.0004142634748767194
49,0.000426881274354161,0.0004712435693079442,0.0004435208536222035,,0.0022023149652776065,0.0005178126541685353,0.0003723439833868764
