step,deepseek1.5b_sync_8gpu_lr3e-6-rollout_corr/log_ppl_abs_diff_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-rollout_corr/log_ppl_abs_diff_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-rollout_corr/log_ppl_abs_diff_step,deepseek1.5b_sync_8gpu_lr5e-6-rollout_corr/log_ppl_abs_diff_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-rollout_corr/log_ppl_abs_diff_step,deepseek1.5b_sync_lr1e-5-rollout_corr/log_ppl_abs_diff_step,deepseek1.5b_sync_lr1e-6-rollout_corr/log_ppl_abs_diff_step
1,0.0004858121370652748,0.0004978518036084499,0.0004969186011396559,0.0004889857054354513,,0.0004995395024027742,0.0004964594942603898
2,0.0005063385487238006,0.0004714750958832472,0.0004909901715639005,0.0004985220638055969,0.0005234176050790055,0.0004869636472154365,0.0004924271171738248
3,0.0004708528281601806,0.0004867745172325138,0.0005221629565782208,,,0.0004962222101514474,0.0004870886319062825
4,0.0005083160397313468,0.000515473131436215,0.0005254140875711693,0.0005055289533712229,0.0006667833167739445,0.0005451398046081818,0.000504966044471157
5,0.0005004506083314043,0.0005286978320793601,0.0005606479668585962,0.0005161728617571902,,0.000613004632737102,0.0005155130100808115
6,,0.0005144039889295353,,0.000526871943627899,,0.0005540254220022689,0.00050913767819212
7,0.000514671709619036,0.0005293469154735032,0.0006332981633704549,0.0005240988059333838,0.0010581712879917007,0.0006342441038668766,0.0004926502654068447
8,0.0005402199329092795,,,0.0005487719749788468,0.0008335012035355536,0.0005759755490544194,0.0005044309273326219
9,0.0005629070625984337,0.000600406412836997,,0.0006267291034201265,0.0010359743567224702,0.0006461010192364675,0.0005118702147117846
10,,,0.0006772401943635487,,0.000741057463341456,0.0006456115237207476,0.0004917444393979123
11,0.0005309053250619819,0.000708190366099305,0.0006833617358239508,,,0.0007663661874782216,0.000491065300833485
12,0.0005797246507632146,0.0007239383885831017,,0.0006592257414963366,0.00106291601578877,0.0006634570751581729,0.0004975025079764383
13,,0.0007038974837406706,,,,0.0007238499776441906,0.0004887444584549967
14,0.0005058930631397137,0.000729087208960014,0.0007113183357362756,0.0005499974790993668,0.0010892191091746402,0.0006750858526356751,0.0005217078057626167
15,0.0005134117798459354,0.0006621941383855301,0.0007611191870878707,0.0005804340460060673,0.0034795571018742307,0.0007128584986829716,0.0005130963812871976
16,0.0005655184303880863,,,,,0.0007799343546304789,0.0005258383990377941
17,0.0005060949652529829,0.000633044966491525,0.0006749824184691195,0.0006149873630103842,,0.000766229896478101,0.0005251729595855929
18,0.0005154256614682359,0.0006057270485939625,0.0006685583687916127,0.0005555454161453998,,0.0006774677787139215,0.0004970893058123545
19,0.0005224498451882807,0.000595752197527459,0.0007308253440857262,,0.008085329298670072,0.0007043290652088924,0.0005136136820708951
20,,0.0005944882174315271,0.000734805109372939,0.0005950733592809146,0.0030993839102918105,0.0006650658442974114,0.0005056440189898575
21,0.0005580213478424412,0.0006077236340691646,0.0007229313443811127,0.0006496768341498359,0.010228717603760222,0.0006789976230374166,0.0005282120288029546
22,,0.0005753702263621474,0.0006697912198992876,0.0006312406476845845,0.004111941905788486,0.0007965748397354462,0.0005137111832612261
23,,0.0005905173635373132,0.0007268526489042415,0.0006161294466235429,0.011101096597625516,0.0007125607053239946,0.0005203514867753256
24,0.0005444441811960132,0.0005792136998626135,0.0007358694913483831,0.0006535114225698635,0.004544087567046518,0.0006686947811886057,0.0005220800455975092
25,0.0005738268683671777,0.0005909662881310658,0.0007134583521747117,,0.005524496693396941,0.00062988961967676,0.0005168090029573333
26,0.0005962377725417786,0.0005669034503155452,0.0006650038121961188,,0.004108488457859494,0.000667277821636302,0.000509565364005376
27,0.0005808904020796035,0.0005809082805474948,,,,0.0006512735606173962,0.0005173615329372946
28,0.0006065388420211093,,0.0007131258453671584,0.000610823274129009,0.0025156172584199035,0.00065130654887693,0.0005124206514290778
29,0.0005739524641415171,0.0005970424653451818,0.000738802686220496,0.0005855375359739188,0.002865569214285959,0.0007239260107022952,0.0005139842353180997
30,0.0005607095035638604,0.0005978980227357371,0.0006955428407069887,,0.002217082873728402,0.00070652962432704,0.0004910552074132003
31,,,0.0007710882883413167,0.0005775383002688422,0.00240585146821104,0.0007558624804460123,0.0005045242140653272
32,0.000564964100749421,0.0006182021976133843,0.0007165390865471946,0.0005590793305644893,0.0024184049005711904,0.0007176881434220593,0.0005025679105301606
33,0.0005962744547559851,0.0006462009483024863,0.0007889510945460643,0.0005639111853413755,0.0025248856699493314,0.0007283971141388486,0.0005008303476188303
34,0.000588614450134628,0.0005804514036684011,0.0007062224526180217,0.0005721098316730364,,0.0006909710563568775,0.0005277980870838898
35,,,0.0006772109569737949,0.0005584300420674768,0.002025354806391988,0.0007073258075251943,0.0005226111202239082
36,0.000579864709501768,0.0006130760017435486,0.000659046108034445,,,0.0006842239554982105,0.0005367635831905734
37,0.0005633091709569271,0.0005920025876238992,0.0007072970616527049,0.0005902345295620954,,0.000818785873602074,0.0005318228861072455
38,0.0005736883404097171,0.0006059155840293071,0.0007060365900255611,0.000594119687517574,0.0021703203606496875,0.0007062080163339832,0.0005184965943604206
39,0.0005823347306958519,0.0006106037252082272,0.0006435872689280586,0.0005923294030743329,0.0020377648038918087,0.0006708813378736522,0.000522784763954817
40,0.0005415105435578227,0.0006119357931311242,0.0006656657331824625,,,0.0006452715986087264,0.0005209637513326015
41,0.0005756793495190019,0.0006373856227500338,0.0007901110862803762,0.0005852972202308931,,0.0007063716274864245,0.0005589779774932398
42,0.0006011594948512012,0.0006586711908312282,0.0006477607621924281,0.0005770695761384559,0.0021053452675053115,0.0006913521302911769,0.0005385224883936574
43,0.0005521052118768109,0.0006236878205604723,,0.0005513927964698052,0.002195640238871994,0.0006068757431334927,0.0005002721342792099
44,0.0006127814619048877,0.0006566382557096847,0.0006800582404615679,0.0005654098900192496,0.0022836362217221354,0.0007376064960426004,0.0005384632014673636
45,0.0005674714067670099,0.0006127708675985164,0.0006329192020889739,0.0006226407591586596,0.0021650153635164315,0.0006240726709418393,0.0005086167695445314
46,0.0005741508362375867,0.0006586276224879839,0.0006812574095290204,0.0006396215856556209,0.0021666068369086133,0.0007653553565476267,0.00052822899224919
47,0.0005850196318312334,0.0006475397161166922,,0.0006196590925139303,,0.0006842177208887907,0.0005013730768476545
48,0.0005567359398160729,0.0006791875401696805,0.0006826606264113275,0.0005805261310797505,0.002130857573080759,0.0006779199514911431,0.0005500867458370825
49,0.0006118831134747444,0.0006351274712523306,0.0006181910123684377,,0.0022023149652776065,0.0006421878235761099,0.0005060769520281136
50,0.0005875269253790196,0.0006850286912595038,0.0007065794663783611,0.0005911842278471119,0.0023019301822743096,0.0007215308809918497,0.0005485565940778707
51,0.0005992736427028182,0.0005931950178886083,0.0006374570304160443,0.0006092787904268143,0.00241982584841372,0.0007112647415851824,0.0005117718621881472
52,0.000560224518602282,0.0006227942722944136,0.0007324071201508512,0.00058037498801193,0.002413879335065195,0.0005998067000746232,0.0004897931722160303
53,0.0005824970597107469,0.0006278623484831769,0.0006336902435673677,0.0006017410871783412,0.002486354176969895,0.0006533377703051787,0.0005279006759751196
54,0.0005545612771905925,0.0006238451286906904,0.0005915935835218988,0.0005566070252685817,0.0020839260765709556,0.0006139511874824253,0.0005349885615704925
55,0.000594628701573805,0.0006852075720439088,0.000631746952776888,0.0005936481853962649,0.00234065703541721,0.0007165021987540447,0.0005391522481659194
56,0.0005591119750953602,0.0006416143873138935,0.0006413534706885778,0.000626437083015984,0.001960076903439282,0.0006818432254173482,0.0005303835633336955
57,0.0005609207668576824,0.0006529862686492331,0.0006355232306209233,0.0006585295198084694,0.002194225041491266,0.0006772634594487566,0.0005215336113906233
58,0.0005308440979769373,0.0006202320858045866,0.0006768180177439056,0.0005928771905538659,0.002380386108518251,0.0006310383530035324,0.0005161821865506366
59,0.0005225467295661344,0.0006410520486497262,0.0006587633067846625,0.0006040198696783115,0.0032570415071915,0.0006989318106545482,0.0005038735743769591
60,0.0005594415898009348,0.0006539356614298629,0.0006477653321326216,0.0005909347885876958,,0.0006544493771695091,0.0005507400241716217
61,0.0005601681086294487,0.0006916252366464483,0.0006910552508750036,0.0006324386580066251,0.0022369548423053203,0.0007787576271806282,0.000530018945978049
62,0.000614446876827262,0.0006763396488263664,0.0006836863611169974,0.0005956048380306665,0.0021485206904391565,0.0006449876761637695,0.0005606164776622791
63,0.0005663462817737079,0.0006332388397006583,0.000683707875595712,0.0006673133182933574,0.0021747861291855925,0.0006549754399533082,0.0005218425779854773
64,0.000572565170260633,0.0006785709093061374,0.0006773517908209797,0.0006476221113643988,0.0021982072596853997,0.0007266955381055595,0.0005661681590936496
65,0.000626302750567226,0.0006229442156645268,0.0006672294987699232,0.000603351713141906,0.0019489571420528028,0.0006293086718350034,0.0005405655074788402
66,0.0005234187011238473,0.000634727770147947,0.0006296747074884479,0.0005661858076564386,0.0022242442779503925,0.0006330759561024024,0.0005496666158145418
67,0.0005703017505594117,0.0008266656804105304,0.0006286438869210542,0.0005651901522846524,0.002092055567933632,0.0006821981824465357,0.0005139209690749467
68,0.0005425406981834789,0.0007829719115761691,0.0007715096080340653,0.000540294888499678,0.0021632130644775316,0.0006570978586231442,0.0005296855573295372
69,0.0005309107781785487,0.0008477764769896823,0.0006733303718647222,0.0005521248049484622,0.0020611484956805457,0.000749002620198423,0.0005161829413240907
70,0.0005824358142883677,0.0007245862993122979,0.0007251084047606422,0.0005788967480093094,0.0020267582702217625,0.0007401315630230846,0.0005227006516411906
71,0.0005491477296952022,0.0007673612597883269,0.0007074305210549844,0.0005948008778887016,0.0020032640539049624,0.000694793144508107,0.000555494761751366
72,0.0005825101129125364,0.0007322680296630623,0.0007128161936844452,0.0005526709791454431,0.0022696321877864662,0.0006139458382676821,0.0005861302763497363
73,0.0006704869756504195,0.0006635425719363603,0.0007350274419287736,0.0005683322739148535,0.002249647561029633,0.0007224558254032362,0.000554241073609219
74,0.0005713471282187793,0.0006933053694247531,0.0006802526638574292,0.0005932127558303253,0.003175114594983718,0.0006904502110739399,0.0005480870362547182
75,0.00062219753638399,0.0006889920347068829,0.0007058836711225106,0.0005549587087443797,0.002712089213780607,0.0006037574544063231,0.0005487662966050088
76,0.0005807440508205117,0.0007338703399505499,0.0007830741804738002,0.0005567457859708555,0.003052147933103274,0.0006916054870355477,0.0005783517839290653
77,0.0006430471171609641,0.0006665643625781645,0.0006566840121195128,0.0006336047797179033,0.003237392604811854,0.0006417134471640955,0.0005363152217146957
78,0.0005820613144818266,0.0007777654740788716,0.0007169686915403872,0.0005333532497433025,0.0023018573920126073,0.0007900876367958041,0.0005330038808703345
79,0.0006300365417897607,0.0007152495071941781,0.000824255717543565,0.0005839545629636891,0.0026025478476764297,0.0007132835833848125,0.0005476996054009456
80,0.000562404254348318,0.0007352685242949519,0.0008653072445422122,0.0005537379813576103,0.002441498534088688,0.000798560527116587,0.0005375726265188668
81,0.0005720915881188136,0.0007402907006172953,0.0007338822884949401,0.0006339485328550966,0.002050373229020111,0.0008309393492492658,0.0005443162486222892
82,0.000568043271611001,0.000770426554960355,0.0006507658544251171,0.0005960479395692279,0.0018936460731244396,0.0008296083957501714,0.0005747894899286621
