step,deepseek1.5b_sync_8gpu_lr3e-6-rollout_corr/ppl_ratio_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-rollout_corr/ppl_ratio_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-rollout_corr/ppl_ratio_step,deepseek1.5b_sync_8gpu_lr5e-6-rollout_corr/ppl_ratio_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-rollout_corr/ppl_ratio_step,deepseek1.5b_sync_lr1e-5-rollout_corr/ppl_ratio_step,deepseek1.5b_sync_lr1e-6-rollout_corr/ppl_ratio_step
1,1.000424192360278,1.000445841789939,1.000438404217195,1.000437000959084,,1.00043674566965,1.000443074090237
2,1.0004533998182286,1.000422226427042,1.0004388046461148,1.0004382777836296,1.000466637477115,1.000423249716942,1.0004310517029449
3,1.000414894355668,1.0004390234966851,1.000470525615818,,,1.000444508343935,1.000434678088833
4,1.0004489518116029,1.000451928025551,1.0004719325595282,1.0004343191500416,1.0006184664865334,1.0004806614719155,1.0004443866985568
5,1.0004393021205822,1.0004690391261404,1.0004979112185537,1.0004531742062095,,1.0005436995998025,1.0004581610967471
6,,1.000451949114601,,1.000475134229523,,1.0004880372434857,1.0004616990685462
7,1.000457718800963,1.0004634233635097,1.0005709052085876,1.0004686863923615,1.0010247678430968,1.0005750961601734,1.000437812245154
8,1.0004805310824771,,,1.0004894493245764,1.0007834335494985,1.000490481266752,1.000439014599984
9,1.000487565013923,1.0005296054813595,,1.0005474527117233,1.0009685002048223,1.0005429078612411,1.0004456516627858
10,,,1.0005916667037775,,1.0006591771893645,1.0005478325432964,1.0004284835261543
11,1.000471463570228,1.0006482722476506,1.0005986670730636,,,1.0006744413326183,1.0004410906643657
12,1.0005136718842345,1.0006545238398217,,1.0005877766368994,1.0009857105937872,1.0005684660540686,1.0004481775150902
13,,1.000633380703024,,,,1.0006347200660797,1.000423820404445
14,1.0004288479685783,1.0006544165313245,1.0006071693049028,1.0004499679238632,1.0009799122810363,1.0005427746474742,1.0004558267071844
15,1.0004276124730942,1.0005773949053358,1.0006497970649175,1.0004858936148662,1.0034139113540346,1.0006074132802694,1.000449303123686
16,1.0004760834077997,,,,,1.0006500795822253,1.000457593217129
17,1.0003916462714022,1.0005581103032457,1.000525088504303,1.000477714707022,,1.0006434864957223,1.0004428139838732
18,1.0004142039956956,1.0005249424139038,1.0005267305033547,1.0004084397639548,,1.000574606968913,1.000427358255193
19,1.0004148463319456,1.0005193177723524,1.000606927372839,,1.007993605253952,1.000594129330582,1.0004441880453856
20,,1.0005161493127026,1.0005978824836868,1.0004372469742189,1.002991253366837,1.0005398270053167,1.0004429257425822
21,1.0004266638619204,1.0005273446440697,1.0005822414771104,1.0004485692414973,1.0101186367017885,1.0005379209206218,1.0004544663642134
22,,1.0004787919742446,1.0004965347739367,1.000430517905467,1.0039715910187137,1.0006787215427655,1.0004331015050412
23,,1.0005146047521023,1.000569049268961,1.00045691534049,1.0109849351529892,1.0005831767550923,1.0004587786396344
24,1.000385946407914,1.0004714193232989,1.0005912782722397,1.00048274656429,1.0042223217586677,1.000529989786446,1.0004493803850243
25,1.000422559119761,1.0004956827072773,1.0005647495388983,,1.0053777588674655,1.0004644034430386,1.0004451091993938
26,1.00044809752389,1.0004750944930931,1.0005177607759834,,1.0039819083534751,1.0005424450605342,1.0004134227090806
27,1.0004305617883802,1.000488962729772,,,,1.0004931118871483,1.0004400121314183
28,1.000435628617803,,1.000574631843625,1.000429002274024,1.0024809384097657,1.0004824305835522,1.0004275721662186
29,1.0004006279366358,1.0004840357085834,1.0006027551073775,1.000414217185033,1.0027816729701085,1.00056787331899,1.0004255941077589
30,1.0003831916161483,1.0004976347640708,1.0005333266760177,,1.0021971806331915,1.0005556588110172,1.0004155069589615
31,,,1.0006479506449002,1.0003966242074966,1.002383386840423,1.0006313962861897,1.0004184860736132
32,1.0004053520038725,1.0005323317039896,1.0005858720439236,1.0004221698859843,1.002393247503223,1.000589051416942,1.000420900527388
33,1.0004441257566214,1.0005407612770796,1.0006604624912143,1.0003942515897124,1.0024891704320908,1.000579945016198,1.000415466958657
34,1.000441557727754,1.0004813807228436,1.0005567146465182,1.000413577611509,,1.0005338539026285,1.00043558118244
35,,,1.0005139579996467,1.0003906608020003,1.0019878204911947,1.0005500075456344,1.0004145057316411
36,1.000434934729483,1.0005128201024205,1.0005004882085613,,,1.000531936382375,1.000437266872091
37,1.0003955798223614,1.0004674259652482,1.000550306157062,1.0004176973904435,,1.0006764056651216,1.000416581160747
38,1.0004144706245923,1.000458438796076,1.0005388550068204,1.0004245393179558,1.0021550834178925,1.0005453124239638,1.0004150128135314
39,1.0003923450253511,1.0004953147566065,1.0004934582859275,1.0004360843927431,1.0020230720783103,1.000507479161024,1.0004130973006196
40,1.0003713556589224,1.0004712502387436,1.0005059502063651,,,1.000477188789263,1.0003925126791
41,1.0004083206638312,1.000492737205191,1.0006420224905015,1.0004318852064222,,1.0005518141246976,1.0004476679945893
42,1.0004555100673125,1.0005298834708003,1.000514438464528,1.0004295520484447,1.0021075641638355,1.00055248201603,1.0004196049502263
