step,deepseek1.5b_sync_8gpu_lr3e-6-training/rollout_probs_diff_max_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-training/rollout_probs_diff_max_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-training/rollout_probs_diff_max_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-training/rollout_probs_diff_max_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-training/rollout_probs_diff_max_step,deepseek1.5b_sync_8gpu_lr5e-6-training/rollout_probs_diff_max_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-training/rollout_probs_diff_max_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-training/rollout_probs_diff_max_step,deepseek1.5b_fa_partial_lr1e-6-training/rollout_probs_diff_max_step,deepseek1.5b_fa_partial_lr1e-5-training/rollout_probs_diff_max_step,deepseek1.5b_sync_lr1e-5-training/rollout_probs_diff_max_step,deepseek1.5b_sync_lr1e-6-training/rollout_probs_diff_max_step
1,0.258722722530365,0.1916067600250244,,0.29245156049728394,,0.2705273926258087,,,,,0.23626986145973208,0.4119462966918946
2,0.25833702087402344,0.4848138093948364,0,0.2679508924484253,0,0.2838684022426605,0,0.23600703477859497,0,0,0.21020156145095825,0.19826188683509827
3,0.18993103504180908,0.2512184977531433,0,0.31684672832489014,,,0,,0,0,0.1998017430305481,0.251201331615448
4,0.24414125084877017,0.24484655261039737,0,0.3482128977775574,0,0.23537705838680267,0,0.3010944128036499,0,0,0.2236589193344116,0.2122059464454651
5,0.20306268334388733,0.624424934387207,,0.202443465590477,,0.2446100115776062,,,0,0,0.2566763162612915,0.23783087730407715
6,,0.1887321174144745,0,,,0.2146044969558716,,,0,0,0.2720959782600403,0.29847776889801025
7,0.2543084919452667,0.3533914387226105,,0.292302668094635,,0.36555466055870056,0,0.16231095790863037,0,0,0.3037120997905731,0.2310580611228943
8,0.15623784065246582,,0,,,0.1743459403514862,,0.18254566192626953,0,0,0.23516324162483215,0.3186091184616089
9,0.29915547370910645,0.231009840965271,0,,0,0.3099425435066223,0,0.29362574219703674,0,0,0.21296453475952148,0.1845928132534027
10,,,0,0.31475791335105896,0,,,0.28032147884368896,0,0,0.2048300802707672,0.48288577795028687
11,0.2574535608291626,0.25929874181747437,0,0.21329566836357117,,,0,,0,0,0.2915666103363037,0.2733953595161438
12,0.4479053318500519,0.18463152647018433,0,,0,0.19344669580459595,,0.438010573387146,0,0,0.21503737568855288,0.48627176880836487
13,,0.1890375018119812,0,,,,,,0,0,0.6006371378898621,0.18772602081298828
14,0.2553279399871826,0.4312170147895813,,0.2830289602279663,,0.2619261145591736,0,0.21240803599357605,0,0,0.23679545521736145,0.1981893628835678
15,0.1785440742969513,0.29635152220726013,0,0.30476710200309753,0,0.34417957067489624,0,0.1509765982627869,0,0,0.2046533226966858,0.19888770580291748
16,0.3047119379043579,,0,,0,,0,,0,0,0.23128080368041992,0.2692740261554718
17,0.21992340683937073,0.3822963833808899,0,0.3660445809364319,0,0.38369020819664,0,,0,0,0.2397880256175995,0.2548525929450989
18,0.2635137736797333,0.1997814178466797,0,0.48499971628189087,,0.20531988143920896,,,0,0,0.3908523619174957,0.25774049758911133
19,0.232494056224823,0.19476154446601868,0,0.23558157682418823,0,,0,0.07117515802383423,0,0,0.1953609585762024,0.6867910623550415
20,,0.2313428670167923,0,0.23843973875045776,,0.4600209593772888,,0.07963716983795166,0,0,0.3106969892978668,0.25483447313308716
21,0.3807782232761383,0.618524968624115,,0.20521190762519836,0,0.1920872926712036,0,0.11344084143638612,0,0,0.40233808755874634,0.28719577193260193
22,,0.2249038815498352,0,0.3170388340950012,0,0.4555041790008545,0,0.06235390901565552,0,0,0.2592655122280121,0.6231771111488342
23,,0.17626863718032837,0,0.17915809154510498,,0.17916113138198853,0,0.05885764956474304,0,0,0.2711586058139801,0.2550376355648041
24,0.3210638761520386,0.16707900166511536,0,0.3394761085510254,0,0.19878703355789185,0,0.044126272201538086,0,0,0.2413349449634552,0.24214160442352295
25,0.1995810717344284,0.32939520478248596,0,0.261705607175827,,,0,0.03956347703933716,0,0,0.23689907789230347,0.19973844289779663
26,0.16578257083892822,0.2542051076889038,0,0.24966418743133545,,,,0.028244808316230777,0,0,0.27939146757125854,0.1943005919456482
27,0.2233629673719406,0.20124667882919312,,,,,,,0,0,0.3026847243309021,0.2408028244972229
28,0.27156862616539,,0,0.3696884512901306,0,0.2965336740016937,0,0.0051503777503967285,0,0,0.2310071885585785,0.3507227599620819
29,0.41566282510757446,0.1882765293121338,,0.2107585370540619,0,0.2054263949394226,0,0.001614142209291458,0,0,0.4878661632537842,0.2893257737159729
