step,deepseek1.5b_sync_8gpu_lr3e-6-training/rollout_probs_diff_mean_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-training/rollout_probs_diff_mean_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-training/rollout_probs_diff_mean_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-training/rollout_probs_diff_mean_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-training/rollout_probs_diff_mean_step,deepseek1.5b_sync_8gpu_lr5e-6-training/rollout_probs_diff_mean_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-training/rollout_probs_diff_mean_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-training/rollout_probs_diff_mean_step,deepseek1.5b_fa_partial_lr1e-6-training/rollout_probs_diff_mean_step,deepseek1.5b_fa_partial_lr1e-5-training/rollout_probs_diff_mean_step,deepseek1.5b_sync_lr1e-5-training/rollout_probs_diff_mean_step,deepseek1.5b_sync_lr1e-6-training/rollout_probs_diff_mean_step
1,0.003857282223179936,0.0038430052809417248,,0.0038825059309601784,,0.003819776000455022,,,,,0.0038729291409254074,0.0038224845193326473
2,0.003937188535928726,0.003932104911655188,0,0.003915322478860617,0,0.003927116747945547,0,0.003910156432539225,0,0,0.003907795529812574,0.003906159196048975
3,0.003826226107776165,0.003841015510261059,0,0.0038342000916600223,,,0,,0,0,0.003841966390609741,0.003871585475280881
4,0.003965499345213175,0.003964295610785484,0,0.003984718583524227,0,0.003954071551561356,0,0.00395546481013298,0,0,0.003966718912124634,0.0039446232840418816
5,0.003919500391930342,0.003907443955540657,,0.0039279162883758545,,0.003926399629563093,,,0,0,0.003955046646296978,0.003921922761946917
6,,0.003886633785441518,0,,,0.003872101427987218,,,0,0,0.003877820447087288,0.003862197743728757
7,0.0039976416155695915,0.003962719812989235,,0.003955321852117777,,0.003989960066974163,0,0.004016617778688669,0,0,0.003996994812041521,0.0039923121221363544
8,0.003976277075707912,,0,,,0.0039526671171188354,,0.00396330188959837,0,0,0.003935160581022501,0.003932701889425516
9,0.0038979528471827503,0.0038876838516443968,0,,0,0.0039181094616651535,0,0.003840130753815174,0,0,0.003874717745929957,0.00388017063960433
10,,,0,0.0038086744025349617,0,,,0.003824477549642325,0,0,0.0037466813810169697,0.003835790790617466
