step,deepseek1.5b_sync_8gpu_lr3e-6-training/rollout_probs_diff_std_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-training/rollout_probs_diff_std_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-training/rollout_probs_diff_std_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-training/rollout_probs_diff_std_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-training/rollout_probs_diff_std_step,deepseek1.5b_sync_8gpu_lr5e-6-training/rollout_probs_diff_std_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-training/rollout_probs_diff_std_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-training/rollout_probs_diff_std_step,deepseek1.5b_fa_partial_lr1e-6-training/rollout_probs_diff_std_step,deepseek1.5b_fa_partial_lr1e-5-training/rollout_probs_diff_std_step,deepseek1.5b_sync_lr1e-5-training/rollout_probs_diff_std_step,deepseek1.5b_sync_lr1e-6-training/rollout_probs_diff_std_step
1,0.007643523626029491,0.007642391603440046,,0.007664556615054607,,0.007609225809574127,,,,,0.007659990806132555,0.00762055953964591
2,0.00771303940564394,0.007715502753853798,0,0.007703395094722509,0,0.00770987756550312,0,0.00769655080512166,0,0,0.007691267877817154,0.007686143275350332
3,0.007620943710207939,0.007633761502802372,0,0.007638547103852034,,,0,,0,0,0.007638212759047747,0.007660005707293749
4,0.007745171431452036,0.007743288297206163,0,0.00776706263422966,0,0.007740481290966272,0,0.007667080033570528,0,0,0.007751045282930136,0.007725367322564125
5,0.0076825269497931,0.007677024230360985,,0.007702303119003773,,0.007687958423048258,,,0,0,0.007749101612716913,0.007690597325563431
6,,0.00769938575103879,0,,,0.007680569775402546,,,0,0,0.007747392635792494,0.007676452863961458
7,0.007786881178617477,0.00776431430131197,,0.007795127108693123,,0.007771093863993883,0,0.007542017847299576,0,0,0.007851269096136093,0.007777383551001549
8,0.007767603732645512,,0,,,0.007725614123046398,,0.0073979999870061874,0,0,0.007827261462807655,0.007709347177296877
9,0.007696964312344789,0.007689444813877344,0,,0,0.007695551961660385,0,0.0073278057388961315,0,0,0.007808193564414978,0.007657268550246954
10,,,0,0.007741881068795919,0,,,0.007232662290334701,0,0,0.007758429739624262,0.007641234435141087
11,0.007701421156525612,0.007630845531821251,0,0.007752667181193829,,,0,,0,0,0.007778417319059372,0.007635811809450388
12,0.007773761171847582,0.007713714148849249,0,,0,0.007705176249146461,,0.007014542352408171,0,0,0.007832243107259274,0.007693448103964329
13,,0.007695171516388655,0,,,,,,0,0,0.007799842394888401,0.007684279233217239
14,0.007779070641845465,0.0077149588614702225,,0.007886074483394623,,0.007724111434072256,0,0.006416723132133484,0,0,0.007810475770384073,0.007683135569095612
15,0.007827217690646648,0.007763659581542015,0,0.007970435544848442,0,0.00776640884578228,0,0.005699620116502047,0,0,0.00790305808186531,0.007725723087787628
16,0.007928927429020405,,0,,0,,0,,0,0,0.008014040999114513,0.007801289204508066
17,0.007876726798713207,0.0077765570022165775,0,0.008020398207008839,0,0.007738314103335142,0,,0,0,0.00790212769061327,0.007719175424426794
18,0.007786283269524574,0.0077362703159451485,0,0.007991878315806389,,0.007756275590509176,,,0,0,0.007895022630691528,0.007688289508223534
19,0.007816648110747337,0.007677269633859396,0,0.007979522459208965,0,,0,0.004433436784893274,0,0,0.007921992801129818,0.0076539055444300175
20,,0.007759960368275642,0,0.008087383583188057,,0.007841997779905796,,0.0038843415677547455,0,0,0.00799852330237627,0.007738932501524687
21,0.007911494001746178,0.007788496091961861,,0.008119364269077778,0,0.0077923499047756195,0,0.0030586824286729097,0,0,0.008025027811527252,0.0077490368857979774
22,,0.007788258139044046,0,0.00815422274172306,0,0.007819268852472305,0,0.0021893347147852182,0,0,0.008036507293581963,0.007779550738632679
23,,0.007809714414179325,0,0.008216099813580513,,0.00784264039248228,0,0.0009401410934515296,0,0,0.008067402988672256,0.007788849528878927
24,0.00792640820145607,0.00783593114465475,0,0.008248891681432724,0,0.007880843244493008,0,0.00023880293883848935,0,0,0.008065834641456604,0.0077886939980089664
25,0.00787931028753519,0.007817080244421959,0,0.008257315494120121,,,0,0.00011027516302419826,0,0,0.008033127523958683,0.007751700468361378
26,0.007949711754918098,0.007812688127160072,0,0.008262268267571926,,,,5.313181463861838e-05,0,0,0.008092059753835201,0.007787357550114393
27,0.007827014662325382,0.007762137800455093,,,,,,,0,0,0.00808329600840807,0.007733583450317383
28,0.007947408594191074,,0,0.008336241357028484,0,0.007839667610824108,0,7.578609711345052e-06,0,0,0.00812925212085247,0.007803204003721476
29,0.007907493971288204,0.007794446777552366,,0.008317011408507824,0,0.007842582650482655,0,2.6969028112944216e-06,0,0,0.008119639940559864,0.007742119487375021
30,0.007879395969212055,0.00779656833037734,0,0.008231062442064285,0,,0,2.2057697606214788e-06,0,0,0.008138544857501984,0.0077655501663684845
31,,,0,0.008315461687743664,0,0.007885344326496124,0,1.357902874588035e-06,0,0,0.008220498450100422,0.007866786792874336
32,0.007884692400693893,0.007825184613466263,0,0.008268948644399643,0,0.007757791317999363,,6.853619197499938e-06,0,0,0.008171607740223408,0.00778938177973032
33,0.00799592025578022,0.007852291688323021,0,0.00832799170166254,0,0.007847707718610764,,7.215878667921061e-07,0,0,0.008173673413693905,0.007844783365726471
34,0.00794189888983965,0.007822686806321144,0,0.008294031955301762,0,0.00784173421561718,0,,0,0,0.008192925713956356,0.007821892388164997
35,,,0,0.008302159607410431,0,0.007756524719297886,,1.2407949725457e-06,0,0,0.008113004267215729,0.007787654176354408
36,0.007961041294038296,0.00785131100565195,0,0.008401299826800823,0,,,,0,0,0.00822435412555933,0.007844293490052223
37,0.007920225150883198,0.007790945470333099,0,0.008273356594145298,0,0.00780669879168272,0,,0,0,0.008117763325572014,0.007789142429828644
38,0.007919142954051495,0.007862732745707035,0,0.008264007046818733,0,0.007867526262998581,0,5.639925575451343e-07,0,0,0.008176940493285656,0.00784387532621622
39,0.007993701845407486,0.007947172969579697,0,0.008331604301929474,0,0.007870979607105255,,5.302556473907316e-07,0,0,0.00824604369699955,0.007861807011067867
40,0.007938061840832233,0.007885487750172615,0,0.008279281668365002,0,,0,,0,0,0.008227089419960976,0.007843930274248123
41,0.008017348125576973,0.0080261854454875,0,0.008325714617967606,0,0.007917567156255245,0,,0,0,0.008308932185173035,0.007954422384500504
42,0.007974470034241676,0.007996267639100552,0,0.008329161442816257,0,0.00791805237531662,0,4.4909023699801764e-07,0,0,0.008267335593700409,0.007900993339717388
43,0.00793298427015543,0.007914453744888306,0,,0,0.007918410003185272,0,4.5868756615163875e-07,0,0,0.008227113634347916,0.007845267653465271
44,0.007976139895617962,0.008003049530088902,0,0.008236080408096313,0,0.007983855903148651,0,6.443992219828942e-07,0,0,0.00828204769641161,0.007892224937677383
45,0.008050977252423763,0.008017340674996376,0,0.00833271536976099,0,0.008069408126175404,0,2.442020786475041e-06,0,0,0.008295763283967972,0.007870616391301155
46,0.008034582249820232,0.008103136904537678,0,0.008285323157906532,0,0.00808980967849493,0,9.795037385629255e-07,0,0,0.008184138685464859,0.007883305661380291
47,0.007991252467036247,0.0080227330327034,0,,0,0.00802545715123415,0,,0,0,0.008270465768873692,0.0077881719917058945
48,0.008077858947217464,0.008029690012335777,0,0.008309450931847095,0,0.008138475008308887,0,6.152994842523185e-07,0,0,0.008290264755487442,0.007875503040850163
49,0.008000306785106659,0.007984978146851063,0,0.008181346580386162,0,,0,1.0100966392201371e-06,0,0,0.008218399249017239,0.007834774442017078
50,0.008134601637721062,0.008096369914710522,0,0.008406291715800762,0,0.008145828731358051,0,7.492831741728878e-07,0,0,0.00830277893692255,0.007853956893086433
51,0.008099256083369255,0.008027175441384315,0,0.008204994723200798,0,0.008053107187151909,0,2.108745547957369e-06,0,0,0.00821011420339346,0.007820017635822296
52,0.00803285650908947,0.008076097816228867,0,0.008217387832701206,0,0.008110325783491135,0,1.6196883052543851e-06,0,0,0.00822655949741602,0.00783106405287981
53,0.008160337805747986,0.008083012886345387,0,0.00830436497926712,0,0.008095784112811089,0,1.3533161791201564e-06,0,0,0.008311890996992588,0.007824315689504147
54,0.008265852928161621,0.008205625228583813,0,0.008355611003935337,0,0.008199206553399563,0,1.3634746665047714e-06,0,0,0.008387706242501736,0.007921598851680756
55,0.008290223777294159,0.008175411261618137,0,0.008389043621718884,0,0.008240236900746822,0,1.567162826177082e-06,0,0,0.00846901722252369,0.007881841622292995
56,0.008311585523188114,0.008219785988330841,0,0.008419432677328587,0,0.008267218247056007,0,2.36044206758379e-06,0,0,0.008505809120833874,0.007980521768331528
57,0.008229677565395832,0.008180655539035797,0,0.008330108597874641,0,0.008232624270021915,0,1.9680653622344835e-06,0,0,0.008437653072178364,0.007896585389971733
58,0.008254106156527996,0.008175508119165897,0,0.008343358524143696,0,0.008221214637160301,0,1.4700182191518252e-06,0,0,0.008413244038820267,0.00793569814413786
