step,deepseek1.5b_sync_8gpu_lr3e-6-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_sync_8gpu_lr5e-6-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_fa_partial_lr1e-6-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_fa_partial_lr1e-5-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_sync_lr1e-5-training/rollout_actor_probs_pearson_corr_step,deepseek1.5b_sync_lr1e-6-training/rollout_actor_probs_pearson_corr_step
1,0.9996960163116456,0.99968022108078,,0.9996834993362428,,0.9997006058692932,,,,,0.9996752142906188,0.9997066259384156
2,0.999306321144104,0.999573290348053,1,0.9996700882911682,0.9999999403953552,0.9996742010116576,0.9999999403953552,0.9996579885482788,1,0.9999999403953552,0.999675750732422,0.9996781349182128
3,0.9997037649154664,0.9995583891868592,1,0.9996878504753112,,,1,,0.9999999403953552,1,0.9997125267982484,0.9996798634529114
4,0.9996598958969116,0.9996742010116576,1,0.999680995941162,0.9999999403953552,0.9996530413627625,1,0.9997101426124572,0.9999999403953552,0.9999999403953552,0.9996723532676696,0.9996724724769592
5,0.9997122883796692,1,,0.9996676445007324,,0.9997004866600036,,,1,0.9999999403953552,0.9996769428253174,0.9997002482414246
6,,0.9997071027755736,1,,,0.9996991753578186,,,1,0.9999999403953552,0.9997147917747498,0.9997053146362304
7,0.9996430277824402,0.9996591806411744,,0.9996505975723268,,0.9996667504310608,1,0.9997327327728271,1,1,0.99964839220047,0.9996560215950012
8,0.9996737837791444,,1,,,0.999643087387085,,0.9997598528862,0.9999999403953552,1,0.9996360540390016,0.9996936321258544
9,0.999680519104004,0.9997073411941528,1,,0.9999999403953552,0.999677300453186,0.9999999403953552,0.999765157699585,0.9999999403953552,1,0.9996658563613892,0.9996941089630128
10,,,1,0.9996758103370668,1,,,0.9997832775115968,0.9999999403953552,0.9999999403953552,0.9996522665023804,0.9997084736824036
11,0.9995611906051636,0.999689519405365,1,0.9996290802955629,,,1,,1,1,0.9996459484100342,0.9997147917747498
12,0.9996832013130188,0.9997034668922424,1,,1,0.9996227622032166,,0.9998581409454346,1,0.9999999403953552,0.9996396899223328,0.9996883273124696
13,,0.9996782541275024,1,,,,,,1,1,0.9995977282524108,0.9996959567070008
14,0.999649941921234,0.999672532081604,,0.9996317028999328,,0.9996395707130432,1,0.9998181462287904,0.9999999403953552,1,0.999612271785736,0.9996466040611268
15,0.999692678451538,0.9996899962425232,0.9999999403953552,0.9996128082275392,1,0.9995819330215454,1,0.9998823404312134,1,1,0.9996124505996704,0.9997010827064514
16,0.999642252922058,,0.9999999403953552,,1,,0.9999999403953552,,0.9999999403953552,1,0.9995999336242676,0.9996895790100098
17,0.999601423740387,0.999669313430786,1,0.9996337890625,1,0.9996490478515624,1,,1,0.9999998807907104,0.9996122121810912,0.9994698762893676
18,0.9997044801712036,0.9996765851974488,1,0.9996143579483032,,0.999655306339264,,,1,1,0.9996117353439332,0.9996461868286132
19,0.9998764395713806,1,1,0.999579906463623,0.9999998807907104,,1,0.9999142289161682,1,1,0.9996243715286256,0.999322772026062
20,,0.999672830104828,1,0.9995983839035034,,0.9996379017829896,,0.9999181032180786,1,1,0.999574899673462,0.99968820810318
21,0.9996092915534972,0.9996647238731384,,0.9995833039283752,1,0.9996268153190612,0.9999999403953552,0.9999251961708068,1,1,0.9996067881584167,0.9997020363807678
22,,0.999674916267395,0.9999998807907104,0.9995622634887696,1,0.9996153116226196,0.9999999403953552,0.9999279975891112,1,1,0.999614715576172,0.9996665120124816
