step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-training/response_len_p99_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-training/response_len_p99_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-training/response_len_p99_step,deepseek1.5b_fa_partial_lr1e-6-training/response_len_p99_step,deepseek1.5b_fa_partial_lr1e-5-training/response_len_p99_step
2,8192,8192,8192,8192,8192
3,8192,,8192,8192,8192
4,8192,8192,8192,8192,8192
5,,,,8192,8192
6,8192,,,8192,8192
7,,,8192,8192,8192
8,8192,,,8192,8192
9,8192,8192,8192,8192,8192
10,8192,8192,,8192,8192
11,8192,,8192,8192,8192
12,8192,8192,,8192,8192
13,8192,,,8192,8192
14,,,8192,8192,8192
15,8192,8192,8192,8192,8192
16,8192,8192,8192,8192,8192
17,8192,8192,8192,8192,8192
18,8192,,,8192,8192
19,8192,8192,8192,8192,8192
20,8192,,,8192,8192
21,,8192,8192,8192,8192
22,8192,8192,8192,8192,8192
23,8192,,7758.33056640625,8192,8192
24,8192,8192,8192,8192,8192
25,8192,,8192,8192,8192
26,8192,,,8192,8192
27,,,,8192,8192
28,8192,8192,8192,8192,8192
29,,8192,8192,8192,8192
30,8192,8192,8192,8192,8192
31,8192,8192,8192,8192,8192
32,8192,8192,,8192,8192
33,8192,8192,,8192,8192
34,8192,8192,8192,8192,8192
35,8192,8192,,8192,8168.3017578125
36,8192,8192,,8192,7880.09033203125
37,8192,7919.75341796875,8192,8192,7143.13134765625
38,8192,8192,8192,8192,7814.5009765625
39,8192,8132.63037109375,,8192,7279.09033203125
40,8192,8031.72265625,8192,8192,7315.43115234375
41,8192,7971.7412109375,8192,8192,7132.9404296875
42,8192,7904.91162109375,8176.361328125,8192,7254.63232421875
43,8192,7140.6015625,4307.33056640625,8192,6162.39013671875
44,8192,6513.93017578125,4329.55224609375,8192,6190.87060546875
45,8192,6530.6201171875,4912.97119140625,8192,6635.720703125
46,8192,7469.95263671875,5454.4208984375,8192,6694.73095703125
47,8192,7100.5009765625,5366.31005859375,8192,6505.9609375
48,8192,6688.8603515625,5539.1005859375,8192,6150.7802734375
49,8192,6930.560546875,6173.09033203125,8192,6587.85009765625
50,7933.79052734375,6494.79052734375,6042.33056640625,8192,6228.48046875
51,7964.201171875,6440.57275390625,5263.9814453125,8192,6057.12109375
52,8192,6310.201171875,5085.3447265625,8192,5792.4228515625
53,7928.83154296875,6703.880859375,3931.7802734375,8192,5994.921875
54,7434,6419.15185546875,4310.67333984375,8192,6052.33056640625
55,8192,6537.5400390625,4233.560546875,8192,6043.2607421875
56,8093.3408203125,6376.47021484375,5263.33056640625,8192,6209.720703125
57,7852.31005859375,6485.85205078125,6067.966796875,8192,6022.041015625
58,6804.7802734375,6112.55029296875,5919.720703125,8192,5733.19091796875
59,7454.5625,6245.9404296875,4793.77001953125,8192,6153.85009765625
60,6683.3203125,6239.9423828125,4741.802734375,8192,6085.33056640625
61,7051.5400390625,6148.7001953125,4063.3427734375,8192,5780.3408203125
62,7490.71044921875,6485.31005859375,4032.1005859375,8192,5846.2607421875
63,6869.7802734375,6100.37158203125,3560.240234375,8192,5771.01025390625
64,6850.8603515625,6725.39404296875,4482.28125,8192,6051.27099609375
65,6457.4453125,5812.49072265625,5490.35107421875,8192,5633.81103515625
66,7071.00390625,6029.9609375,6228.55224609375,8192,5719.85009765625
67,7668.68359375,6402.16015625,6591.63232421875,8192,5922.55029296875
68,6266.48046875,6630.7841796875,5420.5029296875,8192,5935.33056640625
69,6549.5810546875,6058.87060546875,5137.49462890625,8192,5855.1806640625
70,6795.28125,6297.69189453125,4111.53173828125,8192,5499.3017578125
71,6770.3818359375,6089.27099609375,3852.07373046875,8064.9404296875,5594.55029296875
72,6749.681640625,6657.77001953125,3580.9609375,8192,5532.41064453125
73,6937.1044921875,5610.41064453125,3424.400390625,8192,5296.01025390625
74,7126.72265625,6365.5830078125,4330.77001953125,8177.05126953125,5615.361328125
75,7165.8603515625,6690.7021484375,5037.65087890625,8166.47216796875,5596.85009765625
76,6445.45751953125,5984.55029296875,6117.080078125,8182.80078125,5565.2607421875
77,6258.93212890625,6348.283203125,7102.29931640625,8192,5541.13134765625
78,7160.12109375,6018.77197265625,6407.25048828125,7954.8251953125,5259.17041015625
79,7283.2607421875,5897.77001953125,5681.67333984375,7759.75146484375,5247.8623046875
80,5950.51123046875,5962.28125,4088.65087890625,8192,5380.80078125
81,6490.29736328125,6222.3203125,3768.43115234375,7186.40234375,5490.603515625
82,7787.724609375,6722.560546875,3799.17041015625,7952.3203125,5735.1005859375
83,6624.5810546875,5875.09033203125,4009.19091796875,7714.79248046875,5271.19091796875
84,5819.162109375,6448.12109375,4192.28125,7052.6611328125,5951.8046875
85,5505.00390625,6550.0615234375,5088.17041015625,7119.67333984375,6056.27099609375
86,7284.01025390625,6349.240234375,5739.89111328125,6881.83349609375,5703.71044921875
87,7180.85009765625,6442.201171875,5809.35107421875,7574.23193359375,5707.27099609375
88,6143.7021484375,6444.7001953125,5441.37158203125,7411.2607421875,5737.03271484375
89,5724.44140625,6053.560546875,4978.8603515625,7058.845703125,5525.97119140625
90,7299.7431640625,6082.45166015625,4535.09033203125,6777.8232421875,5603.720703125
91,7337.33056640625,5845.21142578125,4407.75146484375,7104.3837890625,5561.7001953125
92,5409.1806640625,6005.7802734375,4404.5400390625,8024.53369140625,5654.482421875
93,5382.6611328125,5658.05126953125,4746.1806640625,5833.77001953125,5227.5400390625
94,8192,5617.63037109375,5031.80078125,6862.73291015625,5224.09033203125
95,7549.43310546875,5633.6201171875,5750.17041015625,6288.11083984375,5751.87060546875
96,5502.7822265625,5780.1005859375,5904.7001953125,6918.8046875,5563.201171875
97,6383.77197265625,6145.25048828125,5431.240234375,7091.27099609375,5698.37353515625
98,8157.73291015625,6016.5439453125,4766.77001953125,6912.65087890625,6041.2607421875
99,7793.5400390625,6030.57080078125,4353.77001953125,6499.21142578125,5819.85009765625
100,7040.91357421875,6108.7021484375,3989.39013671875,6427.1005859375,6214.67529296875
101,8192,6100.87060546875,4327.09033203125,6862.79052734375,5815.21337890625
102,8192,5895.9404296875,4632.31005859375,7199.7802734375,6038.1005859375
103,7549.73095703125,5334.5625,4984.5400390625,6075.16015625,5607.29150390625
104,8192,6065.45166015625,5268.3203125,6589.47216796875,5637.01025390625
105,7912.51318359375,5660.6201171875,5456.5400390625,6199.71044921875,5471.95068359375
106,7126.89501953125,5741.63037109375,5377.6201171875,6147.6201171875,5806.77001953125
107,7740.67529296875,5523.17041015625,5045.77001953125,6148.6611328125,5481.17041015625
108,7818.080078125,6454.365234375,4793.6201171875,6584.19091796875,6000.43505859375
109,7371.03076171875,5663.47021484375,4958.77001953125,6747.89111328125,5795.3203125
110,7142.49267578125,5485.76171875,4987.31005859375,6374.81298828125,5765.521484375
111,8189.7001953125,5741.8603515625,5201.240234375,6869.7021484375,5869.19091796875
112,8192,5549.6220703125,5392.0205078125,6185.31005859375,5718.400390625
113,8192,5258.1826171875,5247,5643.93017578125,4975.9404296875
114,7604.72216796875,5473.33056640625,4962.09033203125,5863.01025390625,5457.3203125
115,8170.3818359375,5697.6201171875,4744,6047.81103515625,5602.720703125
116,7686.2216796875,5965.55224609375,4743.77001953125,6724.73095703125,5496.35107421875
117,8192,6060.09033203125,4864.240234375,6273.35107421875,5621.6201171875
118,6235.80078125,5469.39013671875,4928.080078125,6260.3203125,5897.29150390625
119,8106.447265625,5469.5400390625,5023.6201171875,6115.6611328125,5354.77001953125
120,8192,5345.0205078125,5159.31005859375,6449.9404296875,6305.044921875
121,8192,5613.560546875,5176.77001953125,6478.80078125,6037.7001953125
122,7451.06103515625,5454.01025390625,5162.240234375,6762.6611328125,5551.25048828125
123,7739.83154296875,5296.521484375,4835.7802734375,5990.81103515625,5914.77001953125
124,8192,5511.09033203125,4917.77001953125,6237.71044921875,5411.080078125
125,8192,5762.41064453125,5097.080078125,6766.9013671875,5665.15185546875
126,7906.36328125,5859.80078125,5219.16015625,5847.201171875,5475.73095703125
127,8065.28076171875,5786.7802734375,5221.77001953125,6200.49658203125,6115.77001953125
128,8192,6012.31005859375,5132.39013671875,6189.6201171875,5902.640625
129,8192,5489.57080078125,4929.77001953125,6262,5626.47021484375
130,8192,5944.7822265625,5218.31005859375,6019.2607421875,5540.91162109375
131,8192,5938.41064453125,5407.5400390625,5860.560546875,5765.97119140625
132,7668.0224609375,5719.7802734375,5443.7001953125,6070.2236328125,5393.95068359375
133,7738.9404296875,5551.95068359375,5044.5400390625,5270.7001953125,5437.080078125
134,6851.6220703125,6292.48046875,4490.8603515625,6327.5810546875,5635.85009765625
135,7444.1044921875,5658.0615234375,4492.31005859375,6121.3017578125,5495.55029296875
136,7298.3408203125,5590.5009765625,4636.85009765625,5888.2421875,5595.79052734375
137,7386.482421875,5371.73095703125,4707.77001953125,5977.802734375,5688.77001953125
138,5819.29150390625,5675.25048828125,4814.01025390625,5877.45166015625,5724.5625
139,7804.76171875,5525.9609375,4909.31005859375,5584.25244140625,5581.8603515625
140,8192,5456.35107421875,5019.31005859375,5861.4208984375,5540.125
141,7865.61181640625,5598.35107421875,5136.080078125,5907.7802734375,5904.1806640625
142,7285.0615234375,5826.19091796875,5180.6201171875,6325.080078125,6826.400390625
143,6796.55224609375,5064.97119140625,5103,5117.12109375,5108.77001953125
144,8192,5604.16015625,4992,6330.6611328125,5813.63232421875
145,7132.400390625,5561.6201171875,5251.77001953125,5965.77001953125,5623.47021484375
146,7007.39013671875,5472.63037109375,5610.77001953125,5620.09033203125,5629.31005859375
147,6562.77001953125,5316.48046875,5651.240234375,6042.0654296875,5338.33056640625
148,8192,5806.49072265625,5441.8603515625,5550.85205078125,5796.326171875
149,8192,5458.7001953125,8192,5396.57080078125,5340.201171875
150,7936.4453125,5784.162109375,8192,6007.041015625,5657.7001953125
151,7452.1494140625,5695.560546875,8192,6035.09033203125,5518.720703125
152,8189.240234375,5593.09033203125,8192,6553.32421875,5975.80078125
153,7014.6015625,5582.3408203125,8192,5121.95068359375,5390.7802734375
154,6378.5009765625,5845.39013671875,8192,5550.1806640625,5517.240234375
155,6143.720703125,5391.09228515625,8192,6141.3818359375,5806.47021484375
156,7307.33251953125,5695.31005859375,8192,5762.31005859375,5757.43115234375
157,7107.3818359375,5457.841796875,8192,6082.123046875,5454.97119140625
158,6020.80078125,5688.05126953125,8192,5532.89111328125,5017.4208984375
159,6298.35302734375,5579.47021484375,8192,5509.93017578125,5484.5400390625
160,6003.63037109375,5444.720703125,8192,5799.75341796875,5484.33056640625
161,6279.91357421875,5951.9013671875,8192,6039.5400390625,5699.44140625
162,7084.087890625,5460.93017578125,7821.6015625,6307.47021484375,5498.283203125
163,6075.01025390625,5658.49072265625,6761.11083984375,5710.080078125,5356.8603515625
164,6784.28125,5332.3408203125,6234.09033203125,5796.19287109375,5949.27294921875
165,6510.6611328125,5492.27099609375,5561.93212890625,5974.7802734375,5613.6611328125
166,6543.13134765625,5631.35107421875,4422.11083984375,5804.77001953125,5348.25048828125
167,6682.0224609375,5330.8603515625,3931.6220703125,5651.48046875,5247
168,7150.44140625,5518.8603515625,3324.3203125,5850.640625,5278.08203125
169,6735.83154296875,5624.39013671875,3363.7021484375,5771.25048828125,5686.7802734375
170,5250.39013671875,5358.5400390625,3402.76171875,5692.33056640625,5059.93017578125
171,5756.0205078125,5540.640625,3689.5009765625,5815.53369140625,5289.79052734375
172,6941.39013671875,5581.41064453125,4126.31005859375,5645.71044921875,5621.3427734375
173,5908.73095703125,5017.31005859375,4409.0205078125,5385.77392578125,5422.05126953125
