step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-training/eos_rate_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-training/eos_rate_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-training/eos_rate_step,deepseek1.5b_fa_partial_lr1e-6-training/eos_rate_step,deepseek1.5b_fa_partial_lr1e-5-training/eos_rate_step
2,0.548828125,0.5478515625,0.537109375,0.5751953125,0.5693359375
3,0.5537109375,,0.515625,0.515625,0.5048828125
4,0.486328125,0.47265625,0.49609375,0.529296875,0.4892578125
5,,,,0.54296875,0.552734375
6,0.5126953125,,,0.4921875,0.4970703125
7,,,0.49609375,0.4453125,0.5029296875
8,0.6328125,,,0.5927734375,0.6259765625
9,0.5888671875,0.556640625,0.5947265625,0.5341796875,0.638671875
10,0.609375,0.5712890625,,0.4755859375,0.646484375
11,0.6787109375,,0.6220703125,0.5107421875,0.724609375
12,0.6650390625,0.5830078125,,0.4912109375,0.6787109375
13,0.7490234375,,,0.513671875,0.8017578125
14,,,0.845703125,0.6357421875,0.849609375
15,0.7373046875,0.6943359375,0.7783203125,0.5380859375,0.8037109375
16,0.78515625,0.76953125,0.826171875,0.611328125,0.8427734375
17,0.7861328125,0.7548828125,0.873046875,0.58984375,0.8310546875
18,0.818359375,,,0.6015625,0.87890625
19,0.8349609375,0.822265625,0.935546875,0.6552734375,0.892578125
20,0.83203125,,,0.6064453125,0.912109375
21,,0.8662109375,0.974609375,0.6005859375,0.9267578125
22,0.833984375,0.8125,0.9853515625,0.5634765625,0.876953125
23,0.892578125,,0.9912109375,0.6826171875,0.91796875
24,0.755859375,0.9072265625,0.978515625,0.626953125,0.92578125
25,0.814453125,,0.98046875,0.6142578125,0.908203125
26,0.919921875,,,0.7099609375,0.947265625
27,,,,0.705078125,0.9208984375
28,0.802734375,0.9521484375,0.9833984375,0.7236328125,0.95703125
29,,0.9794921875,0.9375,0.6826171875,0.9755859375
30,0.9345703125,0.9765625,0.8447265625,0.6787109375,0.951171875
31,0.9130859375,0.9765625,0.8916015625,0.7177734375,0.9580078125
32,0.8505859375,0.9609375,,0.7216796875,0.9697265625
33,0.9130859375,0.984375,,0.7841796875,0.982421875
34,0.947265625,0.970703125,0.9541015625,0.7392578125,0.9736328125
35,0.9541015625,0.9765625,,0.7890625,0.990234375
