step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-training/eos_log_prob_mean_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-training/eos_log_prob_mean_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-training/eos_log_prob_mean_step,deepseek1.5b_fa_partial_lr1e-6-training/eos_log_prob_mean_step,deepseek1.5b_fa_partial_lr1e-5-training/eos_log_prob_mean_step
2,-0.21765708923339844,-0.2323494404554367,-0.24202486872673035,-0.2643483877182007,-0.21938972175121307
3,-0.2619648575782776,,-0.2788372337818146,-0.23242098093032837,-0.2577422857284546
4,-0.2357826977968216,-0.2272143661975861,-0.23617160320281985,-0.24696096777915957,-0.19944991171360016
5,,,,-0.20739759504795072,-0.21840859949588776
6,-0.2515302002429962,,,-0.28537681698799133,-0.2464851438999176
7,,,-0.2081626057624817,-0.2067088782787323,-0.2125217318534851
8,-0.22818870842456815,,,-0.2148755043745041,-0.2103133350610733
9,-0.1875429004430771,-0.1988930851221085,-0.1935201585292816,-0.2025831937789917,-0.19258801639080048
10,-0.20555035769939425,-0.23989617824554443,,-0.2559383511543274,-0.17992021143436432
11,-0.21307846903800964,,-0.23332656919956207,-0.2561894655227661,-0.17444539070129397
12,-0.17047551274299622,-0.22662325203418732,,-0.2128688097000122,-0.15677571296691897
13,-0.1678924560546875,,,-0.25482186675071716,-0.14292076230049133
14,,,-0.183778777718544,-0.2784292995929718,-0.13561920821666718
15,-0.16082024574279785,-0.202066034078598,-0.1630351096391678,-0.22047321498394012,-0.14074955880641937
16,-0.08295224606990814,-0.20855575799942017,-0.1589963436126709,-0.23427270352840424,-0.13420334458351135
17,-0.08716084808111191,-0.19978046417236328,-0.16731694340705872,-0.25286608934402466,-0.10712189227342606
18,-0.09380777925252914,,,-0.20734764635562897,-0.11599792540073396
19,-0.09836167097091676,-0.15044480562210083,-0.22621001303195953,-0.21966661512851715,-0.09490686655044556
20,-0.06280747801065445,,,-0.1930263340473175,-0.09716860949993134
21,,-0.1668437123298645,-0.4467838406562805,-0.21441419422626495,-0.07662950456142426
22,-0.08542582392692566,-0.1888330578804016,-0.5375874042510986,-0.19309361279010773,-0.08328533917665482
23,-0.055676788091659546,,-0.3996085822582245,-0.22661536931991577,-0.06812426447868347
24,-0.06358663737773895,-0.1703721284866333,-0.8798520565032959,-0.1944393664598465,-0.07232780009508133
25,-0.06404973566532135,,-0.873382031917572,-0.2100011557340622,-0.07027265429496765
26,-0.036829136312007904,,,-0.15599402785301208,-0.051390476524829865
27,,,,-0.18418006598949432,-0.03726343810558319
28,-0.05040944367647171,-0.15715408325195312,-1.5673073530197144,-0.18577364087104797,-0.06023535877466202
29,,-0.14359377324581146,-1.031177997589111,-0.1742398738861084,-0.03491176664829254
30,-0.03804695233702659,-0.11894436925649644,-2.101465940475464,-0.15685820579528809,-0.03849858045578003
31,-0.04161908105015755,-0.11440329998731612,-2.2072107791900635,-0.16769035160541534,-0.03252337872982025
32,-0.036044660955667496,-0.11098333448171616,,-0.15828658640384674,-0.02140508219599724
33,-0.03863696753978729,-0.08308563381433487,,-0.15722288191318512,-0.02528577484190464
34,-0.049557413905858994,-0.10494758188724518,-2.1565868854522705,-0.12276463955640791,-0.02231050655245781
35,-0.04893395677208901,-0.08892694115638733,,-0.14733578264713287,-0.025142066180706024
36,-0.025860434398055077,-0.08120430260896683,,-0.1338842660188675,-0.020211199298501015
37,-0.04050401598215103,-0.072472482919693,-2.6100683212280273,-0.09748836606740952,-0.026030363515019417
38,-0.04963858425617218,-0.08313363045454025,-3.205265998840332,-0.12682589888572693,-0.024893898516893387
39,-0.02476569078862667,-0.06988923996686935,,-0.11387409269809724,-0.020271308720111847
40,-0.02572976052761078,-0.07250683754682541,-2.8159823417663574,-0.11827272921800612,-0.008868265897035599
41,-0.02871542237699032,-0.0639752447605133,-3.337048292160034,-0.11453449726104736,-0.01622379943728447
42,-0.04112971946597099,-0.07824403047561646,-3.442779779434204,-0.1318068951368332,-0.013614934869110584
43,-0.02505838498473167,-0.06859438121318817,-3.459952592849731,-0.11059661209583282,-0.017985738813877106
44,-0.023881062865257263,-0.05549899861216545,-3.808693408966065,-0.12366241961717606,-0.01610492914915085
45,-0.02310550212860107,-0.06275733560323715,-4.34433650970459,-0.11587242782115936,-0.019408542662858963
46,-0.030071625486016273,-0.045651547610759735,-4.873532295227051,-0.12047644704580308,-0.008611696772277355
47,-0.02196873165667057,-0.0425102524459362,-4.8672051429748535,-0.10084453970193864,-0.015031077899038792
48,-0.021132534369826317,-0.0390966534614563,-5.2867279052734375,-0.10420519858598708,-0.010790061205625534
49,-0.015014348551630974,-0.03670346736907959,-5.803166389465332,-0.09686527401208878,-0.014388933777809145
50,-0.023814991116523743,-0.028991609811782837,-6.1569318771362305,-0.11166928708553314,-0.0052764322608709335
51,-0.020431973040103912,-0.027149774134159088,-5.904557704925537,-0.1013573482632637,-0.011702727526426315
52,-0.02523939497768879,-0.035928916186094284,-5.844382286071777,-0.11957588791847228,-0.013252169825136662
53,-0.019897062331438065,-0.01625780016183853,-6.002065181732178,-0.09203658252954484,-0.0038204779848456383
54,-0.021939639002084732,-0.023594608530402184,-6.317801475524902,-0.10324758291244508,-0.004013407044112682
55,-0.021978002041578293,-0.020302116870880127,-6.558614730834961,-0.0866290032863617,-0.008400209248065948
56,-0.027750298380851746,-0.016172435134649277,-6.955009460449219,-0.11072365939617156,-0.016042234376072884
57,-0.03808217495679855,-0.01886090822517872,-7.054694175720215,-0.07793771475553513,-0.014447755180299282
58,-0.021029064431786537,-0.016586458310484886,-7.051479816436768,-0.08239776641130447,-0.01148926094174385
59,-0.0320291705429554,-0.00980666745454073,-6.951001167297363,-0.07437478750944138,-0.014932069927453996
60,-0.034369345754384995,-0.010876975953578947,-6.900688171386719,-0.0782267153263092,-0.012688824906945229
61,-0.02630487829446793,-0.015387834049761295,-6.825507640838623,-0.06873617321252823,-0.01443579327315092
62,-0.03594280406832695,-0.015457583591341972,-6.774749279022217,-0.09409137070178986,-0.02174980565905571
63,-0.026693621650338173,-0.010838035494089128,-6.835546493530273,-0.06931014358997345,-0.015140898525714874
64,-0.03370966389775276,-0.012384272180497646,-6.935787200927734,-0.08026251941919327,-0.008821740746498108
65,-0.023953622207045555,-0.010240131989121435,-7.132566452026367,-0.07398182898759842,-0.01156383380293846
